DocumentID,Path,Title,Area,Owner,Version,Status
DOC-ARCH-011,02_Architecture/05_Notification_System.md,Notification System,02_Architecture,Software Architecture,0.95.3,In Review
DOC-ARCH-012,02_Architecture/06_Error_Catalog.md,Error Catalog,02_Architecture,Software Architecture,0.95.3,In Review
DOC-ARCH-007,02_Architecture/07_Frontend_Architecture.md,Frontend Architecture,02_Architecture,Frontend Architecture,0.95.3,In Review
DOC-ARCH-008,02_Architecture/08_Backend_Service_Design.md,Backend Service Design,02_Architecture,Backend Architecture,0.95.3,In Review
DOC-DES-006,03_Design/01_Brand_Book.md,Brand Book,03_Design,Product Design / Brand Owner,0.95.3,In Review
DOC-DES-002,03_Design/02_Design_System.md,Design System,03_Design,Product Design,0.95.3,In Review
DOC-DES-007,03_Design/03_Design_Tokens.md,Design Tokens,03_Design,Product Design,0.95.3,In Review
DOC-DES-008,03_Design/04_Component_Library.md,Component Library,03_Design,Product Design,0.95.3,In Review
DOC-DES-005,03_Design/05_Image_Guidelines.md,Image Guidelines,03_Design,Brand / Content Operations,0.95.3,In Review
DOC-DES-009,03_Design/06_Motion_and_3D_Visual_Language.md,Motion e linguaggio visuale 3D,03_Design,Product Design,0.95.3,In Review
DOC-UX-001,04_Experience/01_Information_Architecture.md,Information Architecture,04_Experience,UX / Information Architecture,0.95.3,In Review
DOC-UX-002,04_Experience/02_Global_User_Flows.md,Global User Flows,04_Experience,UX Design,0.95.3,In Review
DOC-UX-003,04_Experience/03_Homepage_Wireframes.md,Homepage — Wireframe Specification,04_Experience,UX Design,0.95.3,In Review
DOC-UX-004,04_Experience/04_Catalog_Wireframes.md,Catalogo — Wireframe Specification,04_Experience,UX Design,0.95.3,In Review
DOC-UX-005,04_Experience/05_Product_Wireframes.md,Pagina Prodotto — Wireframe Specification,04_Experience,UX Design,0.95.3,In Review
DOC-UX-006,04_Experience/06_Service_Wireframes.md,Pagine Servizio — Wireframe Specification,04_Experience,UX Design,0.95.3,In Review
DOC-UX-007,04_Experience/07_Portfolio_Blog_Event_Wireframes.md,"Portfolio, Blog ed Eventi — Wireframe Specification",04_Experience,UX Design,0.95.3,In Review
DOC-UX-008,04_Experience/08_Quote_and_Contact_Wireframes.md,Preventivo e contatti — Wireframe Specification,04_Experience,UX Design,0.95.3,In Review
DOC-UX-009,04_Experience/09_Customer_Area_Wireframes.md,Area Cliente — Wireframe Specification,04_Experience,UX Design,0.95.3,In Review
DOC-UX-010,04_Experience/10_Admin_Wireframes.md,Admin — Wireframe Specification,04_Experience,UX Design,0.95.3,In Review
DOC-UX-011,04_Experience/11_Accessibility_Specification.md,Accessibility Specification,04_Experience,UX Design,0.95.3,In Review
DOC-FEAT-009,05_Features/01_Catalog_and_Products.md,Catalogo e prodotti — Unified Commerce Catalog,05_Features,Product / Commerce,0.95.3,In Review
DOC-FEAT-002,05_Features/02_Lantern_Configurator.md,Configuratore lanterne — Mini-specifica di prodotto,05_Features,Product / 3D Experience,0.95.3,In Review
DOC-FEAT-003,05_Features/03_STL_Quote_Workflow.md,Preventivatore STL — Workflow orchestrato,05_Features,Product / Quotation Domain,0.95.4,In Review
DOC-FEAT-004,05_Features/04_STL_AI_Chat.md,Preventivatore STL — Chat AI di qualificazione,05_Features,AI Product / Quotation,0.95.3,In Review
DOC-FEAT-005,05_Features/05_STL_Slicer.md,Preventivatore STL — Slicer,05_Features,Manufacturing Engineering,0.95.3,In Review
DOC-FEAT-006,05_Features/06_STL_Pricing_Engine.md,Preventivatore STL — Pricing Engine,05_Features,Commercial Operations,0.95.3,In Review
DOC-FEAT-007,05_Features/07_STL_Revision_Workflow.md,Preventivatore STL — Revision Workflow,05_Features,Quotation Operations,0.95.3,In Review
DOC-FEAT-008,05_Features/08_PrintFlow.md,PrintFlow — Pagina Fase 1 e integrazione futura,05_Features,Product,0.95.4,In Review
DOC-FEAT-010,05_Features/09_Events.md,Eventi e fiere,05_Features,Local Marketing,0.95.3,In Review
DOC-FEAT-011,05_Features/10_Printer_Assistance.md,Assistenza stampanti,05_Features,Technical Support,0.95.3,In Review
DOC-FEAT-012,05_Features/11_Portfolio_Case_Studies.md,Portfolio e casi studio,05_Features,Content / Brand,0.95.3,In Review
DOC-FEAT-013,05_Features/12_Newsletter.md,Newsletter,05_Features,CRM / Marketing,0.95.3,In Review
DOC-FEAT-014,05_Features/13_Customer_Area.md,Area cliente,05_Features,Customer Experience,0.95.3,In Review
DOC-FEAT-015,05_Features/14_Search.md,Ricerca interna,05_Features,Discovery,0.95.3,In Review
DOC-FEAT-016,05_Features/15_Checkout_and_Payments_Future.md,Checkout e pagamenti — strategia controllata e progressiva,05_Features,Product / Commerce,0.95.3,In Review
DOC-ADM-005,06_Admin/01_Admin_Information_Architecture.md,NoLimits Command Center — Information Architecture,06_Admin,Admin Product,0.95.3,In Review
DOC-ADM-006,06_Admin/02_Admin_Workflows.md,Admin Workflows,06_Admin,Admin Operations,0.95.3,In Review
DOC-ADM-007,06_Admin/03_Permissions_Matrix.md,Permissions Matrix,06_Admin,Admin Operations,0.95.3,In Review
DOC-ADM-004,06_Admin/04_Media_Library.md,Media Library centralizzata,06_Admin,Content Operations,0.95.3,In Review
DOC-AI-001,07_AI/01_AI_Overview.md,AI Overview — Jarvis private orchestration,07_AI,AI Architecture,0.95.4,In Review
DOC-AI-002,07_AI/02_Jarvis_Admin.md,Jarvis — specifica amministrativa privata,07_AI,AI Product / Security,0.95.4,In Review
DOC-AI-003,07_AI/03_Customer_Assistant.md,Customer/CRM Manager — Jarvis internal tool,07_AI,Customer Operations / AI,0.96,Release Candidate
DOC-AI-004,07_AI/04_SEO_Assistant.md,SEO Manager — Jarvis internal tool,07_AI,SEO / AI,0.95.3,In Review
DOC-AI-005,07_AI/05_Catalog_Assistant.md,Catalog Manager — Jarvis internal tool,07_AI,Catalog / AI,0.95.3,In Review
DOC-AI-006,07_AI/06_Newsletter_Assistant.md,Newsletter Manager — Jarvis internal tool,07_AI,CRM / AI,0.95.3,In Review
DOC-AI-007,07_AI/07_PrintFlow_Assistant.md,"PrintFlow Manager — Jarvis internal tool, Phase 2",07_AI,PrintFlow / AI,0.95.3,Future / In Review
DOC-AI-008,07_AI/08_Future_AI.md,Future Jarvis Tools,07_AI,AI Strategy,0.95.3,Future / In Review
DOC-DATA-001,08_Data_API/01_Database_Design.md,Database Design — Supabase PostgreSQL,08_Data_API,Data Architecture,0.95.3,In Review
DOC-DATA-002,08_Data_API/02_Database_Naming_Convention.md,Database Naming Convention,08_Data_API,Data Architecture,0.95.3,In Review
DOC-DATA-003,08_Data_API/03_Migration_Backup_Strategy.md,Migration e Backup Strategy,08_Data_API,Data Architecture,0.95.3,In Review
DOC-DATA-004,08_Data_API/04_API_Contract.md,API Contract e Convention,08_Data_API,Data Architecture,0.95.3,In Review
DOC-DATA-005,08_Data_API/05_API_Catalog.md,API Catalog,08_Data_API,Data Architecture,0.95.3,In Review
DOC-DATA-006,08_Data_API/06_Data_Classification_Retention.md,Data Classification e Retention,08_Data_API,Data Architecture,0.95.3,In Review
DOC-SEO-001,09_SEO_Content/01_SEO_Strategy.md,SEO Strategy,09_SEO_Content,SEO Strategy,0.95.3,In Review
DOC-SEO-002,09_SEO_Content/02_Content_Strategy.md,Content Strategy,09_SEO_Content,Content Strategy,0.95.3,In Review
DOC-SEO-003,09_SEO_Content/03_Blog_Strategy.md,Blog Strategy,09_SEO_Content,Editorial,0.95.3,In Review
DOC-SEO-004,09_SEO_Content/04_Local_SEO.md,Local SEO,09_SEO_Content,Local Marketing / SEO,0.95.3,In Review
DOC-SEO-005,09_SEO_Content/05_Technical_SEO.md,Technical SEO,09_SEO_Content,SEO Engineering,0.95.3,In Review
DOC-SEO-006,09_SEO_Content/06_Schema_org.md,Schema.org,09_SEO_Content,SEO Engineering,0.95.3,In Review
DOC-SEO-007,09_SEO_Content/07_Internal_Linking.md,Internal Linking,09_SEO_Content,SEO / Information Architecture,0.95.3,In Review
DOC-SEO-008,09_SEO_Content/08_GEO_Strategy.md,GEO Strategy — Generative Engine Optimization,09_SEO_Content,Content / AI Search,0.95.3,In Review
DOC-SEO-009,09_SEO_Content/09_Analytics_Measurement_Plan.md,Analytics e Measurement Plan,09_SEO_Content,Product Analytics,0.95.3,In Review
DOC-SEC-001,10_Security_Performance/01_Threat_Model.md,Threat Model,10_Security_Performance,Security / Performance,0.95.3,In Review
DOC-SEC-002,10_Security_Performance/02_Application_API_Security.md,Application e API Security,10_Security_Performance,Security / Performance,0.95.3,In Review
DOC-SEC-003,10_Security_Performance/03_Upload_Security.md,STL e Image Upload Security,10_Security_Performance,Security / Performance,0.95.3,In Review
DOC-SEC-004,10_Security_Performance/04_AI_Security.md,AI Security e Prompt Injection Prevention,10_Security_Performance,Security / Performance,0.95.3,In Review
DOC-SEC-005,10_Security_Performance/05_Performance_Plan.md,Performance Plan,10_Security_Performance,Performance Engineering,0.95.3,In Review
DOC-SEC-006,10_Security_Performance/06_ThreeJS_3D_Optimization.md,Three.js e 3D Loading Strategy,10_Security_Performance,Frontend / Performance,0.95.3,In Review
DOC-SEC-007,10_Security_Performance/07_Privacy_GDPR.md,Privacy e GDPR,10_Security_Performance,Security / Performance,0.95.3,In Review
DOC-OPS-001,11_Engineering_Operations/01_Developer_Handbook.md,Developer Handbook,11_Engineering_Operations,Engineering Operations,0.96,Release Candidate
DOC-OPS-002,11_Engineering_Operations/02_Testing_Strategy.md,Testing Strategy,11_Engineering_Operations,Engineering Operations,0.95.3,In Review
DOC-OPS-003,11_Engineering_Operations/03_CICD_Deployment.md,CI/CD e Deployment,11_Engineering_Operations,Engineering Operations,0.95.3,In Review
DOC-OPS-004,11_Engineering_Operations/04_Observability.md,Observability,11_Engineering_Operations,Engineering Operations,0.95.3,In Review
DOC-OPS-005,11_Engineering_Operations/05_Release_Strategy.md,Release Strategy,11_Engineering_Operations,Engineering Operations,0.95.4,In Review
DOC-OPS-006,11_Engineering_Operations/06_Disaster_Recovery_Runbook.md,Disaster Recovery Runbook,11_Engineering_Operations,Engineering Operations,0.95.3,In Review
DOC-OPS-007,11_Engineering_Operations/07_Environment_Configuration.md,Environment e Configuration Management,11_Engineering_Operations,Engineering Operations,0.95.3,In Review
DOC-PLAN-001,12_Planning/01_ADR_Register.md,ADR Register,12_Planning,Software Architecture,0.96,Release Candidate
DOC-PLAN-006,12_Planning/02_Decision_Log.md,Decision Log,12_Planning,Product & Engineering Planning,0.96,Release Candidate
DOC-PLAN-003,12_Planning/03_Master_Development_Roadmap.md,Master Development Roadmap,12_Planning,Product & Engineering Planning,0.96,Release Candidate
DOC-PLAN-007,12_Planning/04_Risk_Register.md,Risk Register,12_Planning,Product & Engineering Planning,0.96,Release Candidate
DOC-PLAN-005,12_Planning/05_Traceability_Matrix.md,Requirements Traceability Matrix,12_Planning,Quality Engineering,0.96,Release Candidate
DOC-PLAN-008,12_Planning/06_Documentation_Debt_Register.md,Documentation Debt Register,12_Planning,Documentation Architecture,0.96,Release Candidate
DOC-ADR-001,12_Planning/ADR/ADR-0001_Documentation_as_Product.md,ADR-0001 — Documentation as the governing product,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-002,12_Planning/ADR/ADR-0002_Modular_Monolith_First.md,ADR-0002 — Modular monolith as initial application architecture,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-003,12_Planning/ADR/ADR-0003_PostgreSQL_System_of_Record.md,ADR-0003 — PostgreSQL as system of record,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-004,12_Planning/ADR/ADR-0004_Versioned_API_Contracts.md,ADR-0004 — Versioned API contracts and compatibility policy,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-005,12_Planning/ADR/ADR-0005_Object_Storage_for_Binaries.md,ADR-0005 — Object storage for files and media,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-006,12_Planning/ADR/ADR-0006_Outbox_and_Queued_Jobs.md,ADR-0006 — Transactional outbox and queued asynchronous work,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-007,12_Planning/ADR/ADR-0007_AI_Human_in_the_Loop.md,ADR-0007 — Human-in-the-loop for consequential AI actions,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-008,12_Planning/ADR/ADR-0008_Progressive_3D_Enhancement.md,ADR-0008 — Three.js as progressive enhancement,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-009,12_Planning/ADR/ADR-0009_PrintFlow_Decoupled_Coming_Soon.md,ADR-0009 — PrintFlow decoupled from Phase 1,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-010,12_Planning/ADR/ADR-0010_Consent_Aware_Analytics.md,ADR-0010 — Consent-aware analytics and data minimization,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-011,12_Planning/ADR/ADR-0011_Governed_Media_Pipeline.md,ADR-0011 — Governed media library and derivative pipeline,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-012,12_Planning/ADR/ADR-0012_Versioned_Prompt_Library.md,ADR-0012 — Versioned prompt library separate from governance,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-013,12_Planning/ADR/ADR-0013_Atlas_Deployment_Topology.md,ADR-0013 — Project Atlas deployment topology,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-014,12_Planning/ADR/ADR-0014_Direct_Commercial_Model.md,ADR-0014 — Direct commercial model,12_Planning,Product / Commercial Architecture,0.95.3,In Review
DOC-ADR-015,12_Planning/ADR/ADR-0015_Brand_Identity_and_Project_Atlas.md,ADR-0015 — Brand identity and Project Atlas codename,12_Planning,Brand / Product,0.95.3,In Review
DOC-ADR-016,12_Planning/ADR/ADR-0016_Core_Brand_Values.md,ADR-0016 — Core brand values,12_Planning,Project Owner / Brand,0.95.3,In Review
DOC-ADR-017,12_Planning/ADR/ADR-0017_Premium_Immersive_Web_Application.md,ADR-0017 — Premium immersive Web Application,12_Planning,Product Design / Frontend Architecture,0.95.3,In Review
DOC-ADR-018,12_Planning/ADR/ADR-0018_React_Vite_Stack_with_NextJS_Review_Gate.md,ADR-0018 — React/TypeScript/Vite application stack with Next.js review gate,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-019,12_Planning/ADR/ADR-0019_Supabase_Backend_Architecture.md,ADR-0019 — Supabase backend architecture for Phase 1,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-020,12_Planning/ADR/ADR-0020_Private_Jarvis_Orchestrator.md,ADR-0020 — Jarvis as Andrea-only private AI orchestrator,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-021,12_Planning/ADR/ADR-0021_Unified_Commerce_Catalog.md,ADR-0021 — Unified Commerce Catalog,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-022,12_Planning/ADR/ADR-0022_Controlled_Progressive_Payments.md,ADR-0022 — Controlled progressive payment strategy,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-023,12_Planning/ADR/ADR-0023_NoLimits_Command_Center.md,ADR-0023 — NoLimits Command Center operating model,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-024,12_Planning/ADR/ADR-0024_Website_Centric_Ecosystem.md,ADR-0024 — NoLimits3D website as the center of Project Atlas,12_Planning,Software Architecture,0.95.3,In Review
DOC-ADR-025,12_Planning/ADR/ADR-0025_Founder_Led_Brand_and_Intent_Driven_Customer_Experience.md,ADR-0025 — Founder-led brand and intent-driven customer experience,12_Planning,Product Architecture / Brand,0.95.3,In Review
DOC-ADR-026,12_Planning/ADR/ADR-0026_Project_Atlas_Operating_System_and_AI_Development_Authority.md,ADR-0026 — Project Atlas Operating System and AI Development Authority,12_Planning,Product & Software Architecture,0.95.4,In Review
DOC-CR-001,12_Planning/Change_Requests/CR-0001_Architecture_Consolidation.md,CR-0001 — Architecture Consolidation and Documentation Governance,12_Planning,Change Control Board,0.95.3,In Review
DOC-CR-002,12_Planning/Change_Requests/CR-0002_Atlas_Decisions.md,CR-0002 — Project Atlas approved decisions integration,12_Planning,Change Control Board,0.95.3,In Review
DOC-CR-003,12_Planning/Change_Requests/CR-0003_Application_Architecture_Operating_Model.md,CR-0003 — Application Architecture and Operating Model Consolidation,12_Planning,Change Control Board,0.95.3,In Review
DOC-CR-004,12_Planning/Change_Requests/CR-0004_Brand_Customer_Experience_Home.md,"CR-0004 — Brand, Customer Experience and Homepage Consolidation",12_Planning,Change Control Board,0.95.3,In Review
DOC-CR-005,12_Planning/Change_Requests/CR-0005_Operating_System_Governance_Release_Candidate.md,"CR-0005 — Operating System, Development Governance and Release-Candidate Preparation",12_Planning,Change Control Board,0.95.4,In Review
DOC-CR-006,12_Planning/Change_Requests/CR-0006_Final_Consolidation_Release_Candidate.md,CR-0006 — Documentation Bible Final Consolidation & Frozen Baseline Release Candidate,12_Planning,Change Control Board,0.96,Release Candidate
DOC-APP-001,13_Appendices/01_Quality_Checklists.md,Quality Checklists,13_Appendices,Quality / Reference,0.96,Release Candidate
DOC-APP-002,13_Appendices/02_Open_Questions.md,Open Questions e decisioni richieste,13_Appendices,Project Governance,0.96,Release Candidate
DOC-APP-003,13_Appendices/03_Content_Inventory_Template.md,Content Inventory Template,13_Appendices,Quality / Reference,0.95.3,In Review
DOC-APP-004,13_Appendices/04_Documentation_Audit_v0.95.md,"Documentation Audit — v0.95.4 Operating System, Development Governance & Release-Candidate Preparation",13_Appendices,Quality Engineering,0.95.4,In Review
DOC-APP-005,13_Appendices/05_Release_Candidate_Report_v0.96.md,Release Candidate Report — Project Atlas v0.96,13_Appendices,Lead Architecture Review,0.96,Release Candidate
DOC-APP-006,13_Appendices/06_Executive_Summary_v0.96.md,Executive Summary — Project Atlas Documentation Bible v0.96,13_Appendices,Project Governance,0.96,Release Candidate
DOC-GOV-000,000_PROJECT_CHARTER.md,000 — Project Charter / Meta-Specifica documentale,ROOT,Project Governance,0.96,Release Candidate
DOC-ROOT-001,CHANGELOG.md,Changelog,ROOT,Project Governance,0.96,Release Candidate
DOC-ROOT-002,README.md,Project Atlas — NoLimits3D Documentation Bible v0.95.4,ROOT,Project Governance,0.95.4,In Review
DOC-PRM-001,prompts/01_Jarvis_Operations.md,PRM-JAR-001 — Jarvis Operations,prompts,AI Product,0.95.3,In Review
DOC-PRM-002,prompts/02_SEO_Assistant.md,PRM-SEO-001 — SEO Assistant,prompts,AI Product,0.95.3,In Review
DOC-PRM-003,prompts/03_Blog_Editorial.md,PRM-BLOG-001 — Blog Editorial,prompts,AI Product,0.95.3,In Review
DOC-PRM-004,prompts/04_Catalog_Content.md,PRM-CAT-001 — Catalog Content,prompts,AI Product,0.95.3,In Review
DOC-PRM-005,prompts/05_Image_Generation_Editing.md,PRM-IMG-001 — Image Generation and Conservative Editing,prompts,AI Product,0.95.3,In Review
DOC-PRM-006,prompts/06_Newsletter.md,PRM-NEWS-001 — Newsletter Assistant,prompts,AI Product,0.95.3,In Review
DOC-PRM-007,prompts/07_STL_Qualification.md,PRM-STL-001 — STL Qualification Assistant,prompts,AI Product,0.95.3,In Review
DOC-PRM-000,prompts/README.md,Prompt Library,prompts,AI Product,0.95.3,In Review
