ID,Parent,Type,Epic,Feature,Title,Description,Priority,Milestone,Dependencies,StoryPoints,EstimateHours,Owner,Risk,Status,DocumentRefs,AcceptanceCriteria
T-0005,S-0003,Task,Documentation Governance & Frozen Baseline,Requirements and traceability,Define and integrate authoritative documentation for: Establish stable requirement identifiers,Create the server-side/domain foundation required by story S-0003.,P0,M0,S-0003,3,16,Governance,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0006,S-0003,Task,Documentation Governance & Frozen Baseline,Requirements and traceability,Implement validation and control artifacts for: Establish stable requirement identifiers,Complete the integrated workflow and user/operator experience for story S-0003.,P0,M0,T-0005,3,16,Governance,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0003,T-0006,Subtask,Documentation Governance & Frozen Baseline,Requirements and traceability,Review findings and verify traceability for: Establish stable requirement identifiers,Provide verification and operational evidence for story S-0003.,P0,M0,T-0006,2,8,Governance,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
S-0004,F-0002,Story,Documentation Governance & Frozen Baseline,Requirements and traceability,Complete the RTM graph,"Requirements link to design, tests, roadmap and release evidence.",P0,M0,ST-0003,8,40,Governance,Medium,Planned,See RTM/Owner Document,"Requirements link to design, tests, roadmap and release evidence."
T-0007,S-0004,Task,Documentation Governance & Frozen Baseline,Requirements and traceability,Define and integrate authoritative documentation for: Complete the RTM graph,Create the server-side/domain foundation required by story S-0004.,P0,M0,S-0004,3,16,Governance,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0008,S-0004,Task,Documentation Governance & Frozen Baseline,Requirements and traceability,Implement validation and control artifacts for: Complete the RTM graph,Complete the integrated workflow and user/operator experience for story S-0004.,P0,M0,T-0007,3,16,Governance,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0004,T-0008,Subtask,Documentation Governance & Frozen Baseline,Requirements and traceability,Review findings and verify traceability for: Complete the RTM graph,Provide verification and operational evidence for story S-0004.,P0,M0,T-0008,2,8,Governance,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
F-0003,E-0001,Feature,Documentation Governance & Frozen Baseline,Decision and change control,Decision and change control,Provide the Decision and change control capability within Documentation Governance & Frozen Baseline.,P0,M0,ST-0004,16,80,Governance,Medium,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0005,F-0003,Story,Documentation Governance & Frozen Baseline,Decision and change control,Operate ADR lifecycle,Architectural decisions preserve alternatives and consequences.,P0,M0,F-0003,8,40,Governance,Medium,Planned,See RTM/Owner Document,Architectural decisions preserve alternatives and consequences.
T-0009,S-0005,Task,Documentation Governance & Frozen Baseline,Decision and change control,Define and integrate authoritative documentation for: Operate ADR lifecycle,Create the server-side/domain foundation required by story S-0005.,P0,M0,S-0005,3,16,Governance,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0010,S-0005,Task,Documentation Governance & Frozen Baseline,Decision and change control,Implement validation and control artifacts for: Operate ADR lifecycle,Complete the integrated workflow and user/operator experience for story S-0005.,P0,M0,T-0009,3,16,Governance,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0005,T-0010,Subtask,Documentation Governance & Frozen Baseline,Decision and change control,Review findings and verify traceability for: Operate ADR lifecycle,Provide verification and operational evidence for story S-0005.,P0,M0,T-0010,2,8,Governance,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
S-0006,F-0003,Story,Documentation Governance & Frozen Baseline,Decision and change control,Operate Change Requests,"Baseline changes have impact analysis, approval and verification.",P0,M0,ST-0005,8,40,Governance,Medium,Planned,See RTM/Owner Document,"Baseline changes have impact analysis, approval and verification."
T-0011,S-0006,Task,Documentation Governance & Frozen Baseline,Decision and change control,Define and integrate authoritative documentation for: Operate Change Requests,Create the server-side/domain foundation required by story S-0006.,P0,M0,S-0006,3,16,Governance,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0012,S-0006,Task,Documentation Governance & Frozen Baseline,Decision and change control,Implement validation and control artifacts for: Operate Change Requests,Complete the integrated workflow and user/operator experience for story S-0006.,P0,M0,T-0011,3,16,Governance,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0006,T-0012,Subtask,Documentation Governance & Frozen Baseline,Decision and change control,Review findings and verify traceability for: Operate Change Requests,Provide verification and operational evidence for story S-0006.,P0,M0,T-0012,2,8,Governance,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
E-0002,,Epic,Platform Foundation,,Platform Foundation,Deliver the Platform Foundation outcome and satisfy its quality gates.,P0,M1,E-0001,63,312,Platform,High,Planned,README.md,All child features accepted; blocking risks closed; RTM and release evidence updated.
F-0004,E-0002,Feature,Platform Foundation,Repository and application skeleton,Repository and application skeleton,Provide the Repository and application skeleton capability within Platform Foundation.,P0,M1,E-0002,16,80,Platform,Medium,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0007,F-0004,Story,Platform Foundation,Repository and application skeleton,Create GitHub governed repository structure,"Create the canonical GitHub repository, protected branches, documentation links and monorepo skeleton.",P0,M1,F-0004,8,40,Platform,Medium,Planned,11_Engineering_Operations/01_Developer_Handbook.md; ADR-0013,"Create the canonical GitHub repository, protected branches, documentation links and monorepo skeleton."
T-0013,S-0007,Task,Platform Foundation,Repository and application skeleton,Implement architecture and controls for: Create GitHub governed repository structure,Implement architecture and controls for: Create GitHub governed repository structure,P0,M1,S-0007,3,16,Platform,Medium,Planned,See story and RTM,Implement architecture and controls for: Create GitHub governed repository structure completed with evidence linked to the story.
T-0014,S-0007,Task,Platform Foundation,Repository and application skeleton,Integrate end-to-end workflow for: Create GitHub governed repository structure,Integrate end-to-end workflow for: Create GitHub governed repository structure,P0,M1,T-0013,3,16,Platform,Medium,Planned,See story and component/API specs,Integrate end-to-end workflow for: Create GitHub governed repository structure completed with evidence linked to the story.
ST-0007,T-0014,Subtask,Platform Foundation,Repository and application skeleton,"Verify accessibility, performance, observability and traceability for: Create GitHub governed repository structure","Verify accessibility, performance, observability and traceability for: Create GitHub governed repository structure",P0,M1,T-0014,2,8,Platform,Medium,Planned,Testing Strategy; Observability; RTM,"Verify accessibility, performance, observability and traceability for: Create GitHub governed repository structure completed with evidence linked to the story."
S-0008,F-0004,Story,Platform Foundation,Repository and application skeleton,"Establish React/Vite, Vercel and Supabase application environments","Create reproducible local, preview, staging and production environments for the current React/Vite stack and Supabase services; PC Worker remains inactive until Phase 2 hardening.",P0,M1,ST-0007,8,40,Platform,Medium,Planned,ADR-0018; ADR-0019; 02_Architecture/07_Frontend_Architecture.md; 11_Engineering_Operations/07_Environment_Configuration.md,React/Vite build deploys to Vercel preview; Supabase project/migrations/functions are reproducible; no worker dependency for public site.
T-0015,S-0008,Task,Platform Foundation,Repository and application skeleton,Create React/Vite application skeleton and Supabase local/preview integration,"Configure TypeScript, Vite, Router, Query, forms, Zod, Tailwind/shadcn and Supabase typed adapters.",P0,M1,S-0008,3,16,Platform,Medium,Planned,ADR-0018; ADR-0019,"Build, typecheck and preview pass; environment boundaries and public keys are documented."
T-0016,S-0008,Task,Platform Foundation,Repository and application skeleton,Configure Vercel/Supabase environment promotion and secret boundaries,"Implement preview/staging/production configuration, migrations and Edge Function deployment without exposing service credentials.",P0,M1,T-0015,3,16,Platform,Medium,Planned,ADR-0019; 11_Engineering_Operations/03_CICD_Deployment.md,Promotion is repeatable; secret scan passes; rollback/repair evidence exists.
ST-0008,T-0016,Subtask,Platform Foundation,Repository and application skeleton,Verify platform foundation and PC-worker independence,Test public site and Command Center foundation while PC Worker is offline.,P0,M1,T-0016,2,8,Platform,Medium,Planned,Testing Strategy; Observability; RTM,Site core remains operational with worker offline; checks linked to ADR-0013/18/19.
F-0005,E-0002,Feature,Platform Foundation,Identity and access,Identity and access,Provide the Identity and access capability within Platform Foundation.,P0,M1,ST-0008,26,128,Platform,High,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0009,F-0005,Story,Platform Foundation,Identity and access,Implement authentication and session security,Users authenticate with revocable sessions and secure defaults.,P0,M1,F-0005,13,64,Platform,High,Planned,See RTM/Owner Document,Users authenticate with revocable sessions and secure defaults.
T-0017,S-0009,Task,Platform Foundation,Identity and access,"Implement service, data and security controls for: Implement authentication and session security",Create the server-side/domain foundation required by story S-0009.,P0,M1,S-0009,5,24,Platform,High,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0018,S-0009,Task,Platform Foundation,Identity and access,Integrate end-to-end workflow for: Implement authentication and session security,Complete the integrated workflow and user/operator experience for story S-0009.,P0,M1,T-0017,5,24,Platform,High,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0009,T-0018,Subtask,Platform Foundation,Identity and access,"Add automated tests, observability and runbook for: Implement authentication and session security",Provide verification and operational evidence for story S-0009.,P0,M1,T-0018,3,16,Platform,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
S-0010,F-0005,Story,Platform Foundation,Identity and access,Implement RBAC and capability checks,Every admin/API action is authorized server-side and tested.,P0,M1,ST-0009,13,64,Platform,High,Planned,See RTM/Owner Document,Every admin/API action is authorized server-side and tested.
T-0019,S-0010,Task,Platform Foundation,Identity and access,"Implement service, data and security controls for: Implement RBAC and capability checks",Create the server-side/domain foundation required by story S-0010.,P0,M1,S-0010,5,24,Platform,High,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0020,S-0010,Task,Platform Foundation,Identity and access,Integrate end-to-end workflow for: Implement RBAC and capability checks,Complete the integrated workflow and user/operator experience for story S-0010.,P0,M1,T-0019,5,24,Platform,High,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0010,T-0020,Subtask,Platform Foundation,Identity and access,"Add automated tests, observability and runbook for: Implement RBAC and capability checks",Provide verification and operational evidence for story S-0010.,P0,M1,T-0020,3,16,Platform,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
F-0006,E-0002,Feature,Platform Foundation,Data and storage foundation,Data and storage foundation,Provide the Data and storage foundation capability within Platform Foundation.,P0,M1,ST-0010,21,104,Platform,Medium,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0011,F-0006,Story,Platform Foundation,Data and storage foundation,Create PostgreSQL schema foundation,"Core schemas, migrations and constraints are deployable.",P0,M1,F-0006,8,40,Platform,Medium,Planned,See RTM/Owner Document,"Core schemas, migrations and constraints are deployable."
T-0021,S-0011,Task,Platform Foundation,Data and storage foundation,"Implement service, data and security controls for: Create PostgreSQL schema foundation",Create the server-side/domain foundation required by story S-0011.,P0,M1,S-0011,3,16,Platform,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0022,S-0011,Task,Platform Foundation,Data and storage foundation,Integrate end-to-end workflow for: Create PostgreSQL schema foundation,Complete the integrated workflow and user/operator experience for story S-0011.,P0,M1,T-0021,3,16,Platform,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0011,T-0022,Subtask,Platform Foundation,Data and storage foundation,"Add automated tests, observability and runbook for: Create PostgreSQL schema foundation",Provide verification and operational evidence for story S-0011.,P0,M1,T-0022,2,8,Platform,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
S-0012,F-0006,Story,Platform Foundation,Data and storage foundation,Create object storage and upload foundation,"Files use signed upload, quarantine, checksums and lifecycle policies.",P0,M1,ST-0011,13,64,Platform,High,Planned,See RTM/Owner Document,"Files use signed upload, quarantine, checksums and lifecycle policies."
T-0023,S-0012,Task,Platform Foundation,Data and storage foundation,"Implement service, data and security controls for: Create object storage and upload foundation",Create the server-side/domain foundation required by story S-0012.,P0,M1,S-0012,5,24,Platform,High,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0024,S-0012,Task,Platform Foundation,Data and storage foundation,Integrate end-to-end workflow for: Create object storage and upload foundation,Complete the integrated workflow and user/operator experience for story S-0012.,P0,M1,T-0023,5,24,Platform,High,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0012,T-0024,Subtask,Platform Foundation,Data and storage foundation,"Add automated tests, observability and runbook for: Create object storage and upload foundation",Provide verification and operational evidence for story S-0012.,P0,M1,T-0024,3,16,Platform,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
E-0003,,Epic,Design System & Frontend Foundation,,Design System & Frontend Foundation,Deliver the Design System & Frontend Foundation outcome and satisfy its quality gates.,P0,M1,E-0002,48,240,Frontend,High,Planned,README.md,All child features accepted; blocking risks closed; RTM and release evidence updated.
F-0007,E-0003,Feature,Design System & Frontend Foundation,Tokens and component primitives,Tokens and component primitives,Provide the Tokens and component primitives capability within Design System & Frontend Foundation.,P0,M1,E-0003,16,80,Frontend,Medium,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0013,F-0007,Story,Design System & Frontend Foundation,Tokens and component primitives,Implement Atlas design tokens and premium motion foundations,"Provide dark/green semantic tokens, glow budgets and functional-motion primitives.",P0,M1,F-0007,8,40,Frontend,Medium,Planned,03_Design/02_Design_System.md; 03_Design/03_Design_Tokens.md; ADR-0017,"Provide dark/green semantic tokens, glow budgets and functional-motion primitives."
T-0025,S-0013,Task,Design System & Frontend Foundation,Tokens and component primitives,Implement architecture and controls for: Implement Atlas design tokens and premium motion foundations,Implement architecture and controls for: Implement Atlas design tokens and premium motion foundations,P0,M1,S-0013,3,16,Frontend,Medium,Planned,See story and RTM,Implement architecture and controls for: Implement Atlas design tokens and premium motion foundations completed with evidence linked to the story.
T-0026,S-0013,Task,Design System & Frontend Foundation,Tokens and component primitives,Integrate end-to-end workflow for: Implement Atlas design tokens and premium motion foundations,Integrate end-to-end workflow for: Implement Atlas design tokens and premium motion foundations,P0,M1,T-0025,3,16,Frontend,Medium,Planned,See story and component/API specs,Integrate end-to-end workflow for: Implement Atlas design tokens and premium motion foundations completed with evidence linked to the story.
ST-0013,T-0026,Subtask,Design System & Frontend Foundation,Tokens and component primitives,"Verify accessibility, performance, observability and traceability for: Implement Atlas design tokens and premium motion foundations","Verify accessibility, performance, observability and traceability for: Implement Atlas design tokens and premium motion foundations",P0,M1,T-0026,2,8,Frontend,Medium,Planned,Testing Strategy; Observability; RTM,"Verify accessibility, performance, observability and traceability for: Implement Atlas design tokens and premium motion foundations completed with evidence linked to the story."
S-0014,F-0007,Story,Design System & Frontend Foundation,Tokens and component primitives,Build accessible primitives,"Buttons, fields, dialogs, feedback and navigation meet component contracts.",P0,M1,ST-0013,8,40,Frontend,Medium,Planned,See RTM/Owner Document,"Buttons, fields, dialogs, feedback and navigation meet component contracts."
T-0027,S-0014,Task,Design System & Frontend Foundation,Tokens and component primitives,Implement data/API and state contract for: Build accessible primitives,Create the server-side/domain foundation required by story S-0014.,P0,M1,S-0014,3,16,Frontend,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0028,S-0014,Task,Design System & Frontend Foundation,Tokens and component primitives,Implement responsive UI and interaction for: Build accessible primitives,Complete the integrated workflow and user/operator experience for story S-0014.,P0,M1,T-0027,3,16,Frontend,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0014,T-0028,Subtask,Design System & Frontend Foundation,Tokens and component primitives,"Add accessibility, analytics and automated tests for: Build accessible primitives",Provide verification and operational evidence for story S-0014.,P0,M1,T-0028,2,8,Frontend,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
F-0008,E-0003,Feature,Design System & Frontend Foundation,Routing and rendering,Routing and rendering,Provide the Routing and rendering capability within Design System & Frontend Foundation.,P0,M1,ST-0014,16,80,Frontend,Medium,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0015,F-0008,Story,Design System & Frontend Foundation,Routing and rendering,Implement public rendering strategy,"Public routes are indexable, cacheable and metadata-complete.",P0,M1,F-0008,8,40,Frontend,Medium,Planned,See RTM/Owner Document,"Public routes are indexable, cacheable and metadata-complete."
T-0029,S-0015,Task,Design System & Frontend Foundation,Routing and rendering,Implement data/API and state contract for: Implement public rendering strategy,Create the server-side/domain foundation required by story S-0015.,P0,M1,S-0015,3,16,Frontend,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0030,S-0015,Task,Design System & Frontend Foundation,Routing and rendering,Implement responsive UI and interaction for: Implement public rendering strategy,Complete the integrated workflow and user/operator experience for story S-0015.,P0,M1,T-0029,3,16,Frontend,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0015,T-0030,Subtask,Design System & Frontend Foundation,Routing and rendering,"Add accessibility, analytics and automated tests for: Implement public rendering strategy",Provide verification and operational evidence for story S-0015.,P0,M1,T-0030,2,8,Frontend,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
S-0016,F-0008,Story,Design System & Frontend Foundation,Routing and rendering,Implement protected application shell,Admin/customer routes preserve deep links and prevent unauthorized flashes.,P0,M1,ST-0015,8,40,Frontend,Medium,Planned,See RTM/Owner Document,Admin/customer routes preserve deep links and prevent unauthorized flashes.
T-0031,S-0016,Task,Design System & Frontend Foundation,Routing and rendering,Implement data/API and state contract for: Implement protected application shell,Create the server-side/domain foundation required by story S-0016.,P0,M1,S-0016,3,16,Frontend,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0032,S-0016,Task,Design System & Frontend Foundation,Routing and rendering,Implement responsive UI and interaction for: Implement protected application shell,Complete the integrated workflow and user/operator experience for story S-0016.,P0,M1,T-0031,3,16,Frontend,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0016,T-0032,Subtask,Design System & Frontend Foundation,Routing and rendering,"Add accessibility, analytics and automated tests for: Implement protected application shell",Provide verification and operational evidence for story S-0016.,P0,M1,T-0032,2,8,Frontend,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
F-0009,E-0003,Feature,Design System & Frontend Foundation,Accessibility and performance,Accessibility and performance,Provide the Accessibility and performance capability within Design System & Frontend Foundation.,P0,M1,ST-0016,16,80,Frontend,Medium,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0017,F-0009,Story,Design System & Frontend Foundation,Accessibility and performance,Integrate accessibility guardrails,"Keyboard, focus, contrast and reduced motion are tested continuously.",P0,M1,F-0009,8,40,Frontend,Medium,Planned,See RTM/Owner Document,"Keyboard, focus, contrast and reduced motion are tested continuously."
T-0033,S-0017,Task,Design System & Frontend Foundation,Accessibility and performance,Implement data/API and state contract for: Integrate accessibility guardrails,Create the server-side/domain foundation required by story S-0017.,P0,M1,S-0017,3,16,Frontend,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0034,S-0017,Task,Design System & Frontend Foundation,Accessibility and performance,Implement responsive UI and interaction for: Integrate accessibility guardrails,Complete the integrated workflow and user/operator experience for story S-0017.,P0,M1,T-0033,3,16,Frontend,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0017,T-0034,Subtask,Design System & Frontend Foundation,Accessibility and performance,"Add accessibility, analytics and automated tests for: Integrate accessibility guardrails",Provide verification and operational evidence for story S-0017.,P0,M1,T-0034,2,8,Frontend,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
S-0018,F-0009,Story,Design System & Frontend Foundation,Accessibility and performance,Enforce software-quality performance and motion budgets,"Automate public bundle, CWV, reduced-motion and 3D/video performance gates.",P0,M1,ST-0017,8,40,Frontend,Medium,Planned,10_Security_Performance/05_Performance_Plan.md; ADR-0017,"Automate public bundle, CWV, reduced-motion and 3D/video performance gates."
T-0035,S-0018,Task,Design System & Frontend Foundation,Accessibility and performance,Implement architecture and controls for: Enforce software-quality performance and motion budgets,Implement architecture and controls for: Enforce software-quality performance and motion budgets,P0,M1,S-0018,3,16,Frontend,Medium,Planned,See story and RTM,Implement architecture and controls for: Enforce software-quality performance and motion budgets completed with evidence linked to the story.
T-0036,S-0018,Task,Design System & Frontend Foundation,Accessibility and performance,Integrate end-to-end workflow for: Enforce software-quality performance and motion budgets,Integrate end-to-end workflow for: Enforce software-quality performance and motion budgets,P0,M1,T-0035,3,16,Frontend,Medium,Planned,See story and component/API specs,Integrate end-to-end workflow for: Enforce software-quality performance and motion budgets completed with evidence linked to the story.
ST-0018,T-0036,Subtask,Design System & Frontend Foundation,Accessibility and performance,"Verify accessibility, performance, observability and traceability for: Enforce software-quality performance and motion budgets","Verify accessibility, performance, observability and traceability for: Enforce software-quality performance and motion budgets",P0,M1,T-0036,2,8,Frontend,Medium,Planned,Testing Strategy; Observability; RTM,"Verify accessibility, performance, observability and traceability for: Enforce software-quality performance and motion budgets completed with evidence linked to the story."
E-0004,,Epic,Public Web & Content,,Public Web & Content,Deliver the Public Web & Content outcome and satisfy its quality gates.,P1,M2,E-0003,39,192,Public Web,Medium,Planned,README.md,All child features accepted; blocking risks closed; RTM and release evidence updated.
F-0010,E-0004,Feature,Public Web & Content,Homepage and global navigation,Homepage and global navigation,Provide the Homepage and global navigation capability within Public Web & Content.,P1,M2,E-0004,10,48,Public Web,Medium,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0019,F-0010,Story,Public Web & Content,Homepage and global navigation,Deliver immersive conversion-focused homepage architecture,"Implement the premium homepage with semantic core, media enhancement and functional motion.",P1,M2,F-0010,5,24,Public Web,Medium,Planned,04_Experience/03_Homepage_Wireframes.md; ADR-0017,"Implement the premium homepage with semantic core, media enhancement and functional motion."
T-0037,S-0019,Task,Public Web & Content,Homepage and global navigation,Implement architecture and controls for: Deliver immersive conversion-focused homepage architecture,Implement architecture and controls for: Deliver immersive conversion-focused homepage architecture,P1,M2,S-0019,2,8,Public Web,Medium,Planned,See story and RTM,Implement architecture and controls for: Deliver immersive conversion-focused homepage architecture completed with evidence linked to the story.
T-0038,S-0019,Task,Public Web & Content,Homepage and global navigation,Integrate end-to-end workflow for: Deliver immersive conversion-focused homepage architecture,Integrate end-to-end workflow for: Deliver immersive conversion-focused homepage architecture,P1,M2,T-0037,2,8,Public Web,Medium,Planned,See story and component/API specs,Integrate end-to-end workflow for: Deliver immersive conversion-focused homepage architecture completed with evidence linked to the story.
ST-0019,T-0038,Subtask,Public Web & Content,Homepage and global navigation,"Verify accessibility, performance, observability and traceability for: Deliver immersive conversion-focused homepage architecture","Verify accessibility, performance, observability and traceability for: Deliver immersive conversion-focused homepage architecture",P1,M2,T-0038,1,8,Public Web,Medium,Planned,Testing Strategy; Observability; RTM,"Verify accessibility, performance, observability and traceability for: Deliver immersive conversion-focused homepage architecture completed with evidence linked to the story."
S-0020,F-0010,Story,Public Web & Content,Homepage and global navigation,Deliver responsive navigation and footer,All primary destinations and legal paths work across devices.,P1,M2,ST-0019,5,24,Public Web,Medium,Planned,See RTM/Owner Document,All primary destinations and legal paths work across devices.
T-0039,S-0020,Task,Public Web & Content,Homepage and global navigation,Implement data/API and state contract for: Deliver responsive navigation and footer,Create the server-side/domain foundation required by story S-0020.,P1,M2,S-0020,2,8,Public Web,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0040,S-0020,Task,Public Web & Content,Homepage and global navigation,Implement responsive UI and interaction for: Deliver responsive navigation and footer,Complete the integrated workflow and user/operator experience for story S-0020.,P1,M2,T-0039,2,8,Public Web,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
