ID,Text,Priority,OwnerDoc,API,Data,Security,Test,Roadmap,Status
PRD-NF-003,"Autenticazione, autorizzazione e upload devono seguire secure-by-default e least privilege.",Must,01_Product/01_PRD.md,Cross-cutting contract,N/A / cross-cutting,Cross-cutting quality gate,TEST-PRD-NF-003,E-0013,Specified
PRD-NF-004,"Dati personali, consensi e retention devono essere conformi alle policy privacy UE/Italia.",Must,01_Product/01_PRD.md,Cross-cutting contract,N/A / cross-cutting,Cross-cutting quality gate,TEST-PRD-NF-004,E-0013,Specified
PRD-NF-005,"Disponibilità target Fase 1: 99,5% mensile esclusa manutenzione programmata.",Should,01_Product/01_PRD.md,Cross-cutting contract,N/A / cross-cutting,Cross-cutting quality gate,TEST-PRD-NF-005,E-0013,Specified
PRD-NF-006,Backup e restore devono raggiungere almeno RPO 24h e RTO 8h iniziali.,Must,01_Product/01_PRD.md,Cross-cutting contract,N/A / cross-cutting,Cross-cutting quality gate,TEST-PRD-NF-006,E-0013,Specified
PRD-NF-007,"Processi critici devono avere log, metriche, audit e correlation ID.",Must,01_Product/01_PRD.md,Cross-cutting contract,N/A / cross-cutting,Cross-cutting quality gate,TEST-PRD-NF-007,E-0013,Specified
PRD-NF-008,"API, dati e configurazioni salvate devono evolvere con compatibilità e migrazione.",Must,01_Product/01_PRD.md,Cross-cutting contract,N/A / cross-cutting,Cross-cutting quality gate,TEST-PRD-NF-008,E-0013,Specified
PRD-NF-009,L’amministrazione operativa deve essere possibile senza accesso diretto al database.,Must,01_Product/01_PRD.md,Cross-cutting contract,N/A / cross-cutting,Cross-cutting quality gate,TEST-PRD-NF-009,E-0013,Specified
PRD-NF-010,"Pagine pubbliche devono supportare SEO tecnico, structured data veritieri e canonicalizzazione.",Must,01_Product/01_PRD.md,Cross-cutting contract,N/A / cross-cutting,Cross-cutting quality gate,TEST-PRD-NF-010,E-0014,Specified
PRD-NF-011,"Esecuzioni AI devono registrare prompt, modello, tool, costi e review applicabile.",Must,01_Product/01_PRD.md,Cross-cutting contract,N/A / cross-cutting,Cross-cutting quality gate,TEST-PRD-NF-011,E-0013,Specified
PRD-NF-012,"I flussi commerciali devono avere fallback manuale quando AI, 3D o automazioni non sono disponibili.",Must,01_Product/01_PRD.md,Cross-cutting contract,N/A / cross-cutting,Cross-cutting quality gate,TEST-PRD-NF-012,E-0013,Specified
CAT-F-001,"Gestire prodotti, varianti, categorie e stato di pubblicazione.",Must,05_Features/01_Catalog_and_Products.md,catalog,catalog + media,Feature controls,TEST-CAT-F-001,E-0005,Specified
CAT-F-002,Fornire filtri e ordinamenti con URL condivisibili.,Must,05_Features/01_Catalog_and_Products.md,catalog,catalog + media,Feature controls,TEST-CAT-F-002,E-0005,Specified
CAT-F-003,Mostrare pagine prodotto indicizzabili con media e dati verificati.,Must,05_Features/01_Catalog_and_Products.md,catalog,catalog + media,Feature controls,TEST-CAT-F-003,E-0005,Specified
CAT-F-004,"Distinguere acquistabile, personalizzabile e solo preventivo.",Must,05_Features/01_Catalog_and_Products.md,catalog,catalog + media,Feature controls,TEST-CAT-F-004,E-0005,Specified
CAT-F-005,Preservare snapshot dei dati usati in richieste/ordini.,Must,05_Features/01_Catalog_and_Products.md,catalog,catalog + media,Feature controls,TEST-CAT-F-005,E-0005,Specified
CAT-F-006,"Gestire SEO, redirect e archiviazione senza link rotti.",Must,05_Features/01_Catalog_and_Products.md,catalog,catalog + media,Feature controls,TEST-CAT-F-006,E-0005,Specified
LANT-F-001,Elencare modelli configurabili e relative capacità.,Must,05_Features/02_Lantern_Configurator.md,lantern,lantern + media,Upload + resource authorization,TEST-LANT-F-001,E-0007,Specified
LANT-F-002,Applicare solo combinazioni compatibili.,Must,05_Features/02_Lantern_Configurator.md,lantern,lantern + media,Upload + resource authorization,TEST-LANT-F-002,E-0007,Specified
LANT-F-003,Mostrare preview aggiornata delle selezioni.,Must,05_Features/02_Lantern_Configurator.md,lantern,lantern + media,Upload + resource authorization,TEST-LANT-F-003,E-0007,Specified
LANT-F-004,Offrire fallback statico se WebGL non è disponibile.,Must,05_Features/02_Lantern_Configurator.md,lantern,lantern + media,Upload + resource authorization,TEST-LANT-F-004,E-0007,Specified
LANT-F-005,Salvare e riprendere un draft.,Must,05_Features/02_Lantern_Configurator.md,lantern,lantern + media,Upload + resource authorization,TEST-LANT-F-005,E-0007,Specified
LANT-F-006,"Versionare modello, opzioni e configurazione inviata.",Must,05_Features/02_Lantern_Configurator.md,lantern,lantern + media,Upload + resource authorization,TEST-LANT-F-006,E-0007,Specified
LANT-F-007,Gestire immagini caricate tramite Media/Upload Security.,Must,05_Features/02_Lantern_Configurator.md,lantern,lantern + media,Upload + resource authorization,TEST-LANT-F-007,E-0007,Specified
LANT-F-008,Inviare la configurazione a revisione umana.,Must,05_Features/02_Lantern_Configurator.md,lantern,lantern + media,Upload + resource authorization,TEST-LANT-F-008,E-0007,Specified
LANT-F-009,Tracciare funnel e problemi senza PII non necessaria.,Should,05_Features/02_Lantern_Configurator.md,lantern,lantern + media,Upload + resource authorization,TEST-LANT-F-009,E-0007,Specified
LANT-F-010,Consentire aggiunta futura di modelli senza riscrivere il motore.,Must architetturale,05_Features/02_Lantern_Configurator.md,lantern,lantern + media,Upload + resource authorization,TEST-LANT-F-010,E-0007,Specified
STL-F-001,Creare un progetto e upload sicuro.,Must,05_Features/03_STL_Quote_Workflow.md,stl-projects/quotes,projects + quotes,Upload + sandbox,TEST-STL-F-001,E-0015,Specified
STL-F-002,Conservare originale e checksum.,Must,05_Features/03_STL_Quote_Workflow.md,stl-projects/quotes,projects + quotes,Upload + sandbox,TEST-STL-F-002,E-0015,Specified
STL-F-003,Estrarre metriche geometriche e warning.,Must future/MVP F2,05_Features/03_STL_Quote_Workflow.md,stl-projects/quotes,projects + quotes,Upload + sandbox,TEST-STL-F-003,E-0015,Specified
STL-F-004,Raccogliere requisiti d'uso con chat/form.,Must,05_Features/03_STL_Quote_Workflow.md,stl-projects/quotes,projects + quotes,Upload + sandbox,TEST-STL-F-004,E-0015,Specified
STL-F-005,Limitare materiali/profili a opzioni compatibili.,Must,05_Features/03_STL_Quote_Workflow.md,stl-projects/quotes,projects + quotes,Upload + sandbox,TEST-STL-F-005,E-0015,Specified
STL-F-006,Eseguire slicing versionato e riproducibile.,Must future/MVP F2,05_Features/03_STL_Quote_Workflow.md,stl-projects/quotes,projects + quotes,Upload + sandbox,TEST-STL-F-006,E-0015,Specified
STL-F-007,Calcolare cost components trasparenti.,Must future/MVP F2,05_Features/03_STL_Quote_Workflow.md,stl-projects/quotes,projects + quotes,Upload + sandbox,TEST-STL-F-007,E-0015,Specified
STL-F-008,"Mostrare range e confidence, non prezzo definitivo.",Must,05_Features/03_STL_Quote_Workflow.md,stl-projects/quotes,projects + quotes,Upload + sandbox,TEST-STL-F-008,E-0015,Specified
STL-F-009,Richiedere revisione Andrea prima del preventivo finale.,Must,05_Features/03_STL_Quote_Workflow.md,stl-projects/quotes,projects + quotes,Upload + sandbox,TEST-STL-F-009,E-0015,Specified
STL-F-010,Versionare ogni preventivo inviato.,Must,05_Features/03_STL_Quote_Workflow.md,stl-projects/quotes,projects + quotes,Upload + sandbox,TEST-STL-F-010,E-0015,Specified
STL-F-011,Consentire fallback manuale in ogni step automatico.,Must,05_Features/03_STL_Quote_Workflow.md,stl-projects/quotes,projects + quotes,Upload + sandbox,TEST-STL-F-011,E-0015,Specified
STL-F-012,Tracciare tool/profile/model provenance.,Must,05_Features/03_STL_Quote_Workflow.md,stl-projects/quotes,projects + quotes,Upload + sandbox,TEST-STL-F-012,E-0015,Specified
CHAT-F-001,"Raccogliere uso, quantità, dimensioni, ambiente, finitura e deadline mancanti.",Must,05_Features/04_STL_AI_Chat.md,ai/stl-qualification,projects + ai,AI Security,TEST-CHAT-F-001,E-0015,Specified
CHAT-F-002,"Non promettere stampabilità, materiale, tempi o prezzo definitivo.",Must,05_Features/04_STL_AI_Chat.md,ai/stl-qualification,projects + ai,AI Security,TEST-CHAT-F-002,E-0015,Specified
CHAT-F-003,"Trattare file, filename e messaggi come dati non fidati.",Must,05_Features/04_STL_AI_Chat.md,ai/stl-qualification,projects + ai,AI Security,TEST-CHAT-F-003,E-0015,Specified
CHAT-F-004,Produrre un brief strutturato versionato e fonti della risposta.,Must,05_Features/04_STL_AI_Chat.md,ai/stl-qualification,projects + ai,AI Security,TEST-CHAT-F-004,E-0015,Specified
CHAT-F-005,Limitare il numero di domande per turno e spiegare quelle tecniche.,Should,05_Features/04_STL_AI_Chat.md,ai/stl-qualification,projects + ai,AI Security,TEST-CHAT-F-005,E-0015,Specified
CHAT-F-006,Consentire form/manuale e ripresa del dialogo.,Must,05_Features/04_STL_AI_Chat.md,ai/stl-qualification,projects + ai,AI Security,TEST-CHAT-F-006,E-0015,Specified
CHAT-F-007,Escalare ad Andrea quando rischio/confidence lo richiede.,Must,05_Features/04_STL_AI_Chat.md,ai/stl-qualification,projects + ai,AI Security,TEST-CHAT-F-007,E-0015,Specified
SLICER-F-001,Eseguire job in sandbox con quota CPU/RAM/tempo.,Must,05_Features/05_STL_Slicer.md,stl-jobs,projects + integrations,Sandbox + quotas,TEST-SLICER-F-001,E-0015,Specified
SLICER-F-002,"Versionare slicer, macchina, nozzle, materiale e profilo.",Must,05_Features/05_STL_Slicer.md,stl-jobs,projects + integrations,Sandbox + quotas,TEST-SLICER-F-002,E-0015,Specified
SLICER-F-003,Conservare input fingerprint e output metrics immutabili.,Must,05_Features/05_STL_Slicer.md,stl-jobs,projects + integrations,Sandbox + quotas,TEST-SLICER-F-003,E-0015,Specified
SLICER-F-004,Supportare orientamenti/profili candidati senza sovrascrivere risultati.,Should,05_Features/05_STL_Slicer.md,stl-jobs,projects + integrations,Sandbox + quotas,TEST-SLICER-F-004,E-0015,Specified
SLICER-F-005,"Restituire tempo, massa, supporti, cambi e warning strutturati.",Must,05_Features/05_STL_Slicer.md,stl-jobs,projects + integrations,Sandbox + quotas,TEST-SLICER-F-005,E-0015,Specified
SLICER-F-006,Gestire timeout/failure con review manuale.,Must,05_Features/05_STL_Slicer.md,stl-jobs,projects + integrations,Sandbox + quotas,TEST-SLICER-F-006,E-0015,Specified
SLICER-F-007,Impedire esecuzione di codice o accesso rete/filesystem non necessari.,Must,05_Features/05_STL_Slicer.md,stl-jobs,projects + integrations,Sandbox + quotas,TEST-SLICER-F-007,E-0015,Specified
PRICE-F-001,"Calcolare componenti da dati versionati, non testo libero.",Must,05_Features/06_STL_Pricing_Engine.md,pricing/quotes,quotes + pricing config,Commercial authorization,TEST-PRICE-F-001,E-0015,Specified
PRICE-F-002,"Separare materiale, macchina, setup, lavoro, post-processo e rischio.",Must,05_Features/06_STL_Pricing_Engine.md,pricing/quotes,quotes + pricing config,Commercial authorization,TEST-PRICE-F-002,E-0015,Specified
PRICE-F-003,"Produrre range, assunzioni e confidence.",Must,05_Features/06_STL_Pricing_Engine.md,pricing/quotes,quotes + pricing config,Commercial authorization,TEST-PRICE-F-003,E-0015,Specified
PRICE-F-004,Applicare minimi/sconti/tasse solo da policy approvate.,Must,05_Features/06_STL_Pricing_Engine.md,pricing/quotes,quotes + pricing config,Commercial authorization,TEST-PRICE-F-004,E-0015,Specified
PRICE-F-005,Registrare versione formula e input snapshot.,Must,05_Features/06_STL_Pricing_Engine.md,pricing/quotes,quotes + pricing config,Commercial authorization,TEST-PRICE-F-005,E-0015,Specified
PRICE-F-006,Consentire override umano motivato.,Must,05_Features/06_STL_Pricing_Engine.md,pricing/quotes,quotes + pricing config,Commercial authorization,TEST-PRICE-F-006,E-0015,Specified
PRICE-F-007,Simulare senza modificare il preventivo inviato.,Should,05_Features/06_STL_Pricing_Engine.md,pricing/quotes,quotes + pricing config,Commercial authorization,TEST-PRICE-F-007,E-0015,Specified
PRICE-F-008,Non esporre automaticamente margini o formule interne sensibili.,Must,05_Features/06_STL_Pricing_Engine.md,pricing/quotes,quotes + pricing config,Commercial authorization,TEST-PRICE-F-008,E-0015,Specified
REV-F-001,"Presentare file, brief, warning, slice e breakdown in una review console.",Must,05_Features/07_STL_Revision_Workflow.md,quote-review,quotes + audit,RBAC + audit,TEST-REV-F-001,E-0015,Specified
REV-F-002,"Consentire approve, adjust, request information o reject.",Must,05_Features/07_STL_Revision_Workflow.md,quote-review,quotes + audit,RBAC + audit,TEST-REV-F-002,E-0015,Specified
REV-F-003,Richiedere motivazione per override o rifiuto.,Must,05_Features/07_STL_Revision_Workflow.md,quote-review,quotes + audit,RBAC + audit,TEST-REV-F-003,E-0015,Specified
REV-F-004,Creare una nuova versione del quote a ogni modifica commerciale.,Must,05_Features/07_STL_Revision_Workflow.md,quote-review,quotes + audit,RBAC + audit,TEST-REV-F-004,E-0015,Specified
REV-F-005,Conservare diff e autore.,Must,05_Features/07_STL_Revision_Workflow.md,quote-review,quotes + audit,RBAC + audit,TEST-REV-F-005,E-0015,Specified
REV-F-006,Impedire invio con dati obbligatori mancanti.,Must,05_Features/07_STL_Revision_Workflow.md,quote-review,quotes + audit,RBAC + audit,TEST-REV-F-006,E-0015,Specified
REV-F-007,Supportare SLA/priorità e assegnazione senza auto-approvazione AI.,Should,05_Features/07_STL_Revision_Workflow.md,quote-review,quotes + audit,RBAC + audit,TEST-REV-F-007,E-0015,Specified
PF-F-001,Mostrare la frase “PrintFlow è attualmente in sviluppo.” in posizione evidente.,Must,05_Features/08_PrintFlow.md,content/waitlist/releases,content + newsletter,Coming Soon guard,TEST-PF-F-001,E-0016,Specified
PF-F-002,"Etichettare screenshot come concept, prototype o release reale.",Must,05_Features/08_PrintFlow.md,content/waitlist/releases,content + newsletter,Coming Soon guard,TEST-PF-F-002,E-0016,Specified
PF-F-003,Raccogliere waitlist con double opt-in e consenso separato.,Must,05_Features/08_PrintFlow.md,content/waitlist/releases,content + newsletter,Coming Soon guard,TEST-PF-F-003,E-0016,Specified
PF-F-004,"Non esporre CTA “Accedi”, “Avvia” o funzioni non disponibili.",Must,05_Features/08_PrintFlow.md,content/waitlist/releases,content + newsletter,Coming Soon guard,TEST-PF-F-004,E-0016,Specified
PF-F-005,Mostrare roadmap non vincolante e data aggiornamento.,Should,05_Features/08_PrintFlow.md,content/waitlist/releases,content + newsletter,Coming Soon guard,TEST-PF-F-005,E-0016,Specified
PF-F-006,Abilitare download solo tramite release record approvato.,Must,05_Features/08_PrintFlow.md,content/waitlist/releases,content + newsletter,Coming Soon guard,TEST-PF-F-006,E-0016,Specified
PF-F-007,Isolare futura integrazione tramite adapter e feature flag.,Must architetturale,05_Features/08_PrintFlow.md,content/waitlist/releases,content + newsletter,Coming Soon guard,TEST-PF-F-007,E-0016,Specified
EVT-F-001,Pubblicare calendario ed evento con stato e localizzazione.,Must,05_Features/09_Events.md,events,events + crm,Consent + admin RBAC,TEST-EVT-F-001,E-0008,Specified
EVT-F-002,Gestire registrazione/interesse con consenso.,Must,05_Features/09_Events.md,events,events + crm,Consent + admin RBAC,TEST-EVT-F-002,E-0008,Specified
EVT-F-003,Collegare lead e conversioni all'evento.,Must,05_Features/09_Events.md,events,events + crm,Consent + admin RBAC,TEST-EVT-F-003,E-0008,Specified
EVT-F-004,"Gestire contenuti, media e aggiornamenti da admin.",Must,05_Features/09_Events.md,events,events + crm,Consent + admin RBAC,TEST-EVT-F-004,E-0008,Specified
EVT-F-005,Generare SEO locale e structured data coerenti.,Must,05_Features/09_Events.md,events,events + crm,Consent + admin RBAC,TEST-EVT-F-005,E-0008,Specified
EVT-F-006,"Gestire annullamento, variazioni e notifiche.",Must,05_Features/09_Events.md,events,events + crm,Consent + admin RBAC,TEST-EVT-F-006,E-0008,Specified
AST-F-001,"Acquisire richiesta, macchina, sintomi e allegati.",Must,05_Features/10_Printer_Assistance.md,assistance,assistance + crm,Consent + sensitive support,TEST-AST-F-001,E-0009,Specified
AST-F-002,Eseguire triage e assegnare priorità senza diagnosi automatica certa.,Must,05_Features/10_Printer_Assistance.md,assistance,assistance + crm,Consent + sensitive support,TEST-AST-F-002,E-0009,Specified
AST-F-003,Supportare sessione remota e consenso.,Must,05_Features/10_Printer_Assistance.md,assistance,assistance + crm,Consent + sensitive support,TEST-AST-F-003,E-0009,Specified
AST-F-004,Gestire preventivo/intervento e stato.,Must,05_Features/10_Printer_Assistance.md,assistance,assistance + crm,Consent + sensitive support,TEST-AST-F-004,E-0009,Specified
AST-F-005,"Conservare cronologia, parti e azioni.",Must,05_Features/10_Printer_Assistance.md,assistance,assistance + crm,Consent + sensitive support,TEST-AST-F-005,E-0009,Specified
AST-F-006,Fornire comunicazioni e chiusura con feedback.,Must,05_Features/10_Printer_Assistance.md,assistance,assistance + crm,Consent + sensitive support,TEST-AST-F-006,E-0009,Specified
PORT-F-001,Pubblicare solo lavori con diritti e consenso appropriati.,Must,05_Features/11_Portfolio_Case_Studies.md,content/portfolio,content + media,Rights + privacy,TEST-PORT-F-001,E-0004,Specified
PORT-F-002,"Distinguere foto reali, render e concept.",Must,05_Features/11_Portfolio_Case_Studies.md,content/portfolio,content + media,Rights + privacy,TEST-PORT-F-002,E-0004,Specified
PORT-F-003,"Descrivere problema, processo, vincoli e risultato verificabile.",Must,05_Features/11_Portfolio_Case_Studies.md,content/portfolio,content + media,Rights + privacy,TEST-PORT-F-003,E-0004,Specified
PORT-F-004,Collegare servizi/prodotti/CTA pertinenti.,Must,05_Features/11_Portfolio_Case_Studies.md,content/portfolio,content + media,Rights + privacy,TEST-PORT-F-004,E-0004,Specified
PORT-F-005,"Filtrare per settore, tecnica e risultato senza duplicare pagine thin.",Should,05_Features/11_Portfolio_Case_Studies.md,content/portfolio,content + media,Rights + privacy,TEST-PORT-F-005,E-0004,Specified
PORT-F-006,Proteggere dettagli B2B riservati e dati cliente.,Must,05_Features/11_Portfolio_Case_Studies.md,content/portfolio,content + media,Rights + privacy,TEST-PORT-F-006,E-0004,Specified
NEWS-F-001,Raccogliere iscrizione con double opt-in.,Must,05_Features/12_Newsletter.md,newsletter,newsletter + crm,Consent + provider webhook,TEST-NEWS-F-001,E-0010,Specified
NEWS-F-002,Gestire preferenze e unsubscribe immediato.,Must,05_Features/12_Newsletter.md,newsletter,newsletter + crm,Consent + provider webhook,TEST-NEWS-F-002,E-0010,Specified
NEWS-F-003,"Creare campagne in draft, review e schedule.",Must,05_Features/12_Newsletter.md,newsletter,newsletter + crm,Consent + provider webhook,TEST-NEWS-F-003,E-0010,Specified
NEWS-F-004,Segmentare solo con dati e consensi ammessi.,Must,05_Features/12_Newsletter.md,newsletter,newsletter + crm,Consent + provider webhook,TEST-NEWS-F-004,E-0010,Specified
NEWS-F-005,Tracciare delivery e engagement nel rispetto privacy.,Must,05_Features/12_Newsletter.md,newsletter,newsletter + crm,Consent + provider webhook,TEST-NEWS-F-005,E-0010,Specified
NEWS-F-006,"Gestire suppression, bounce e audit del consenso.",Must,05_Features/12_Newsletter.md,newsletter,newsletter + crm,Consent + provider webhook,TEST-NEWS-F-006,E-0010,Specified
CUST-F-001,Consentire accesso sicuro via account o link/token approvato.,Should,05_Features/13_Customer_Area.md,customer-area,crm + quotes + orders,Object authorization,TEST-CUST-F-001,E-0006,Specified
CUST-F-002,Mostrare solo risorse del cliente/organizzazione autorizzata.,Must,05_Features/13_Customer_Area.md,customer-area,crm + quotes + orders,Object authorization,TEST-CUST-F-002,E-0006,Specified
CUST-F-003,Visualizzare stato e timeline in linguaggio comprensibile.,Should,05_Features/13_Customer_Area.md,customer-area,crm + quotes + orders,Object authorization,TEST-CUST-F-003,E-0006,Specified
CUST-F-004,Consentire risposta a richieste informazioni e accettazione quote.,Should,05_Features/13_Customer_Area.md,customer-area,crm + quotes + orders,Object authorization,TEST-CUST-F-004,E-0006,Specified
CUST-F-005,Consentire download controllato di documenti propri.,Could,05_Features/13_Customer_Area.md,customer-area,crm + quotes + orders,Object authorization,TEST-CUST-F-005,E-0006,Specified
CUST-F-006,Registrare accessi e azioni commerciali significative.,Must,05_Features/13_Customer_Area.md,customer-area,crm + quotes + orders,Object authorization,TEST-CUST-F-006,E-0006,Specified
SEARCH-F-001,Indicizzare solo contenuti pubblicati e autorizzati.,Must,05_Features/14_Search.md,search,search projection,Publication filter,TEST-SEARCH-F-001,E-0005,Specified
SEARCH-F-002,Restituire risultati tipizzati e raggruppabili.,Must,05_Features/14_Search.md,search,search projection,Publication filter,TEST-SEARCH-F-002,E-0005,Specified
SEARCH-F-003,Supportare typo/titoli/tag senza inventare risultati.,Should,05_Features/14_Search.md,search,search projection,Publication filter,TEST-SEARCH-F-003,E-0005,Specified
SEARCH-F-004,Offrire empty state con alternative reali.,Must,05_Features/14_Search.md,search,search projection,Publication filter,TEST-SEARCH-F-004,E-0005,Specified
SEARCH-F-005,"Non esporre admin, draft, media privati o dati cliente.",Must,05_Features/14_Search.md,search,search projection,Publication filter,TEST-SEARCH-F-005,E-0005,Specified
SEARCH-F-006,Misurare query e zero-result con minimizzazione dati.,Should,05_Features/14_Search.md,search,search projection,Publication filter,TEST-SEARCH-F-006,E-0005,Specified
PAY-F-001,Distinguere prodotti immediatamente acquistabili da quote/configurazioni.,Must future,05_Features/15_Checkout_and_Payments_Future.md,payments future,orders + payment records,PCI/provider + webhook,TEST-PAY-F-001,E-0016,Specified
PAY-F-002,"Calcolare totali, imposte e spedizione con snapshot.",Must future,05_Features/15_Checkout_and_Payments_Future.md,payments future,orders + payment records,PCI/provider + webhook,TEST-PAY-F-002,E-0016,Specified
PAY-F-003,Usare provider tokenizzato; nessun dato carta nel sistema.,Must future,05_Features/15_Checkout_and_Payments_Future.md,payments future,orders + payment records,PCI/provider + webhook,TEST-PAY-F-003,E-0016,Specified
PAY-F-004,"Verificare webhook, idempotency e reconciliation.",Must future,05_Features/15_Checkout_and_Payments_Future.md,payments future,orders + payment records,PCI/provider + webhook,TEST-PAY-F-004,E-0016,Specified
PAY-F-005,"Gestire failure, retry, refund/cancel e stato separato.",Must future,05_Features/15_Checkout_and_Payments_Future.md,payments future,orders + payment records,PCI/provider + webhook,TEST-PAY-F-005,E-0016,Specified
PAY-F-006,"Fornire termini, conferme e documenti fiscali approvati.",Must future,05_Features/15_Checkout_and_Payments_Future.md,payments future,orders + payment records,PCI/provider + webhook,TEST-PAY-F-006,E-0016,Specified
ADM-F-001,Mostrare overview operativa basata su permessi.,Must,06_Admin/01_Admin_Information_Architecture.md,admin,identity + audit,RBAC,TEST-ADM-F-001,E-0011,Specified
ADM-F-002,Separare moduli e capability secondo RBAC.,Must,06_Admin/01_Admin_Information_Architecture.md,admin,identity + audit,RBAC,TEST-ADM-F-002,E-0011,Specified
ADM-F-003,"Consentire gestione catalogo, contenuti, eventi, newsletter e media.",Must,06_Admin/01_Admin_Information_Architecture.md,admin,identity + audit,RBAC,TEST-ADM-F-003,E-0011,Specified
ADM-F-004,Fornire audit e storico delle azioni significative.,Must,06_Admin/01_Admin_Information_Architecture.md,admin,identity + audit,RBAC,TEST-ADM-F-004,E-0011,Specified
ADM-F-005,Gestire configurazioni con validazione e versioning.,Must,06_Admin/01_Admin_Information_Architecture.md,admin,identity + audit,RBAC,TEST-ADM-F-005,E-0011,Specified
ADM-F-006,Evitare accesso diretto al database per operazioni ordinarie.,Must,06_Admin/01_Admin_Information_Architecture.md,admin,identity + audit,RBAC,TEST-ADM-F-006,E-0011,Specified
MEDIA-F-001,Gestire lifecycle e approvazione degli asset.,Must,06_Admin/04_Media_Library.md,media,media + object storage,Quarantine + rights,TEST-MEDIA-F-001,E-0011,Specified
MEDIA-F-002,"Conservare provenance, diritti e prompt AI.",Must,06_Admin/04_Media_Library.md,media,media + object storage,Quarantine + rights,TEST-MEDIA-F-002,E-0011,Specified
MEDIA-F-003,Generare derivative versionate WebP/AVIF/fallback.,Must,06_Admin/04_Media_Library.md,media,media + object storage,Quarantine + rights,TEST-MEDIA-F-003,E-0011,Specified
MEDIA-F-004,Rilevare duplicati e mostrare usage graph.,Must,06_Admin/04_Media_Library.md,media,media + object storage,Quarantine + rights,TEST-MEDIA-F-004,E-0011,Specified
