ID,Text,Priority,OwnerDoc
PRD-NF-007,"Processi critici devono avere log, metriche, audit e correlation ID.",Must,01_Product/01_PRD.md
PRD-NF-008,"API, dati e configurazioni salvate devono evolvere con compatibilità e migrazione.",Must,01_Product/01_PRD.md
PRD-NF-009,L’amministrazione operativa deve essere possibile senza accesso diretto al database.,Must,01_Product/01_PRD.md
PRD-NF-010,"Pagine pubbliche devono supportare SEO tecnico, structured data veritieri e canonicalizzazione.",Must,01_Product/01_PRD.md
PRD-NF-011,"Esecuzioni AI devono registrare prompt, modello, tool, costi e review applicabile.",Must,01_Product/01_PRD.md
PRD-NF-012,"I flussi commerciali devono avere fallback manuale quando AI, 3D o automazioni non sono disponibili.",Must,01_Product/01_PRD.md
CAT-F-001,"Gestire prodotti, varianti, categorie e stato di pubblicazione.",Must,05_Features/01_Catalog_and_Products.md
CAT-F-002,Fornire filtri e ordinamenti con URL condivisibili.,Must,05_Features/01_Catalog_and_Products.md
CAT-F-003,Mostrare pagine prodotto indicizzabili con media e dati verificati.,Must,05_Features/01_Catalog_and_Products.md
CAT-F-004,"Distinguere acquistabile, personalizzabile e solo preventivo.",Must,05_Features/01_Catalog_and_Products.md
CAT-F-005,Preservare snapshot dei dati usati in richieste/ordini.,Must,05_Features/01_Catalog_and_Products.md
CAT-F-006,"Gestire SEO, redirect e archiviazione senza link rotti.",Must,05_Features/01_Catalog_and_Products.md
LANT-F-001,Elencare modelli configurabili e relative capacità.,Must,05_Features/02_Lantern_Configurator.md
LANT-F-002,Applicare solo combinazioni compatibili.,Must,05_Features/02_Lantern_Configurator.md
LANT-F-003,Mostrare preview aggiornata delle selezioni.,Must,05_Features/02_Lantern_Configurator.md
LANT-F-004,Offrire fallback statico se WebGL non è disponibile.,Must,05_Features/02_Lantern_Configurator.md
LANT-F-005,Salvare e riprendere un draft.,Must,05_Features/02_Lantern_Configurator.md
LANT-F-006,"Versionare modello, opzioni e configurazione inviata.",Must,05_Features/02_Lantern_Configurator.md
LANT-F-007,Gestire immagini caricate tramite Media/Upload Security.,Must,05_Features/02_Lantern_Configurator.md
LANT-F-008,Inviare la configurazione a revisione umana.,Must,05_Features/02_Lantern_Configurator.md
LANT-F-009,Tracciare funnel e problemi senza PII non necessaria.,Should,05_Features/02_Lantern_Configurator.md
LANT-F-010,Consentire aggiunta futura di modelli senza riscrivere il motore.,Must architetturale,05_Features/02_Lantern_Configurator.md
STL-F-001,Creare un progetto e upload sicuro.,Must,05_Features/03_STL_Quote_Workflow.md
STL-F-002,Conservare originale e checksum.,Must,05_Features/03_STL_Quote_Workflow.md
STL-F-003,Estrarre metriche geometriche e warning.,Must future/MVP F2,05_Features/03_STL_Quote_Workflow.md
STL-F-004,Raccogliere requisiti d'uso con chat/form.,Must,05_Features/03_STL_Quote_Workflow.md
STL-F-005,Limitare materiali/profili a opzioni compatibili.,Must,05_Features/03_STL_Quote_Workflow.md
STL-F-006,Eseguire slicing versionato e riproducibile.,Must future/MVP F2,05_Features/03_STL_Quote_Workflow.md
STL-F-007,Calcolare cost components trasparenti.,Must future/MVP F2,05_Features/03_STL_Quote_Workflow.md
STL-F-008,"Mostrare range e confidence, non prezzo definitivo.",Must,05_Features/03_STL_Quote_Workflow.md
STL-F-009,Richiedere revisione Andrea prima del preventivo finale.,Must,05_Features/03_STL_Quote_Workflow.md
STL-F-010,Versionare ogni preventivo inviato.,Must,05_Features/03_STL_Quote_Workflow.md
STL-F-011,Consentire fallback manuale in ogni step automatico.,Must,05_Features/03_STL_Quote_Workflow.md
STL-F-012,Tracciare tool/profile/model provenance.,Must,05_Features/03_STL_Quote_Workflow.md
CHAT-F-001,"Raccogliere uso, quantità, dimensioni, ambiente, finitura e deadline mancanti.",Must,05_Features/04_STL_AI_Chat.md
CHAT-F-002,"Non promettere stampabilità, materiale, tempi o prezzo definitivo.",Must,05_Features/04_STL_AI_Chat.md
CHAT-F-003,"Trattare file, filename e messaggi come dati non fidati.",Must,05_Features/04_STL_AI_Chat.md
CHAT-F-004,Produrre un brief strutturato versionato e fonti della risposta.,Must,05_Features/04_STL_AI_Chat.md
CHAT-F-005,Limitare il numero di domande per turno e spiegare quelle tecniche.,Should,05_Features/04_STL_AI_Chat.md
CHAT-F-006,Consentire form/manuale e ripresa del dialogo.,Must,05_Features/04_STL_AI_Chat.md
CHAT-F-007,Escalare ad Andrea quando rischio/confidence lo richiede.,Must,05_Features/04_STL_AI_Chat.md
SLICER-F-001,Eseguire job in sandbox con quota CPU/RAM/tempo.,Must,05_Features/05_STL_Slicer.md
SLICER-F-002,"Versionare slicer, macchina, nozzle, materiale e profilo.",Must,05_Features/05_STL_Slicer.md
SLICER-F-003,Conservare input fingerprint e output metrics immutabili.,Must,05_Features/05_STL_Slicer.md
SLICER-F-004,Supportare orientamenti/profili candidati senza sovrascrivere risultati.,Should,05_Features/05_STL_Slicer.md
SLICER-F-005,"Restituire tempo, massa, supporti, cambi e warning strutturati.",Must,05_Features/05_STL_Slicer.md
SLICER-F-006,Gestire timeout/failure con review manuale.,Must,05_Features/05_STL_Slicer.md
SLICER-F-007,Impedire esecuzione di codice o accesso rete/filesystem non necessari.,Must,05_Features/05_STL_Slicer.md
PRICE-F-001,"Calcolare componenti da dati versionati, non testo libero.",Must,05_Features/06_STL_Pricing_Engine.md
PRICE-F-002,"Separare materiale, macchina, setup, lavoro, post-processo e rischio.",Must,05_Features/06_STL_Pricing_Engine.md
PRICE-F-003,"Produrre range, assunzioni e confidence.",Must,05_Features/06_STL_Pricing_Engine.md
PRICE-F-004,Applicare minimi/sconti/tasse solo da policy approvate.,Must,05_Features/06_STL_Pricing_Engine.md
PRICE-F-005,Registrare versione formula e input snapshot.,Must,05_Features/06_STL_Pricing_Engine.md
PRICE-F-006,Consentire override umano motivato.,Must,05_Features/06_STL_Pricing_Engine.md
PRICE-F-007,Simulare senza modificare il preventivo inviato.,Should,05_Features/06_STL_Pricing_Engine.md
PRICE-F-008,Non esporre automaticamente margini o formule interne sensibili.,Must,05_Features/06_STL_Pricing_Engine.md
REV-F-001,"Presentare file, brief, warning, slice e breakdown in una review console.",Must,05_Features/07_STL_Revision_Workflow.md
REV-F-002,"Consentire approve, adjust, request information o reject.",Must,05_Features/07_STL_Revision_Workflow.md
REV-F-003,Richiedere motivazione per override o rifiuto.,Must,05_Features/07_STL_Revision_Workflow.md
REV-F-004,Creare una nuova versione del quote a ogni modifica commerciale.,Must,05_Features/07_STL_Revision_Workflow.md
REV-F-005,Conservare diff e autore.,Must,05_Features/07_STL_Revision_Workflow.md
REV-F-006,Impedire invio con dati obbligatori mancanti.,Must,05_Features/07_STL_Revision_Workflow.md
REV-F-007,Supportare SLA/priorità e assegnazione senza auto-approvazione AI.,Should,05_Features/07_STL_Revision_Workflow.md
PF-F-001,Mostrare la frase “PrintFlow è attualmente in sviluppo.” in posizione evidente.,Must,05_Features/08_PrintFlow.md
PF-F-002,"Etichettare screenshot come concept, prototype o release reale.",Must,05_Features/08_PrintFlow.md
PF-F-003,Raccogliere waitlist con double opt-in e consenso separato.,Must,05_Features/08_PrintFlow.md
PF-F-004,"Non esporre CTA “Accedi”, “Avvia” o funzioni non disponibili.",Must,05_Features/08_PrintFlow.md
PF-F-005,Mostrare roadmap non vincolante e data aggiornamento.,Should,05_Features/08_PrintFlow.md
PF-F-006,Abilitare download solo tramite release record approvato.,Must,05_Features/08_PrintFlow.md
PF-F-007,Isolare futura integrazione tramite adapter e feature flag.,Must architetturale,05_Features/08_PrintFlow.md
EVT-F-001,Pubblicare calendario ed evento con stato e localizzazione.,Must,05_Features/09_Events.md
EVT-F-002,Gestire registrazione/interesse con consenso.,Must,05_Features/09_Events.md
EVT-F-003,Collegare lead e conversioni all'evento.,Must,05_Features/09_Events.md
EVT-F-004,"Gestire contenuti, media e aggiornamenti da admin.",Must,05_Features/09_Events.md
EVT-F-005,Generare SEO locale e structured data coerenti.,Must,05_Features/09_Events.md
EVT-F-006,"Gestire annullamento, variazioni e notifiche.",Must,05_Features/09_Events.md
AST-F-001,"Acquisire richiesta, macchina, sintomi e allegati.",Must,05_Features/10_Printer_Assistance.md
AST-F-002,Eseguire triage e assegnare priorità senza diagnosi automatica certa.,Must,05_Features/10_Printer_Assistance.md
AST-F-003,Supportare sessione remota e consenso.,Must,05_Features/10_Printer_Assistance.md
AST-F-004,Gestire preventivo/intervento e stato.,Must,05_Features/10_Printer_Assistance.md
AST-F-005,"Conservare cronologia, parti e azioni.",Must,05_Features/10_Printer_Assistance.md
AST-F-006,Fornire comunicazioni e chiusura con feedback.,Must,05_Features/10_Printer_Assistance.md
PORT-F-001,Pubblicare solo lavori con diritti e consenso appropriati.,Must,05_Features/11_Portfolio_Case_Studies.md
PORT-F-002,"Distinguere foto reali, render e concept.",Must,05_Features/11_Portfolio_Case_Studies.md
PORT-F-003,"Descrivere problema, processo, vincoli e risultato verificabile.",Must,05_Features/11_Portfolio_Case_Studies.md
PORT-F-004,Collegare servizi/prodotti/CTA pertinenti.,Must,05_Features/11_Portfolio_Case_Studies.md
PORT-F-005,"Filtrare per settore, tecnica e risultato senza duplicare pagine thin.",Should,05_Features/11_Portfolio_Case_Studies.md
PORT-F-006,Proteggere dettagli B2B riservati e dati cliente.,Must,05_Features/11_Portfolio_Case_Studies.md
NEWS-F-001,Raccogliere iscrizione con double opt-in.,Must,05_Features/12_Newsletter.md
NEWS-F-002,Gestire preferenze e unsubscribe immediato.,Must,05_Features/12_Newsletter.md
NEWS-F-003,"Creare campagne in draft, review e schedule.",Must,05_Features/12_Newsletter.md
NEWS-F-004,Segmentare solo con dati e consensi ammessi.,Must,05_Features/12_Newsletter.md
NEWS-F-005,Tracciare delivery e engagement nel rispetto privacy.,Must,05_Features/12_Newsletter.md
NEWS-F-006,"Gestire suppression, bounce e audit del consenso.",Must,05_Features/12_Newsletter.md
CUST-F-001,Consentire accesso sicuro via account o link/token approvato.,Should,05_Features/13_Customer_Area.md
CUST-F-002,Mostrare solo risorse del cliente/organizzazione autorizzata.,Must,05_Features/13_Customer_Area.md
CUST-F-003,Visualizzare stato e timeline in linguaggio comprensibile.,Should,05_Features/13_Customer_Area.md
CUST-F-004,Consentire risposta a richieste informazioni e accettazione quote.,Should,05_Features/13_Customer_Area.md
CUST-F-005,Consentire download controllato di documenti propri.,Could,05_Features/13_Customer_Area.md
CUST-F-006,Registrare accessi e azioni commerciali significative.,Must,05_Features/13_Customer_Area.md
SEARCH-F-001,Indicizzare solo contenuti pubblicati e autorizzati.,Must,05_Features/14_Search.md
SEARCH-F-002,Restituire risultati tipizzati e raggruppabili.,Must,05_Features/14_Search.md
SEARCH-F-003,Supportare typo/titoli/tag senza inventare risultati.,Should,05_Features/14_Search.md
SEARCH-F-004,Offrire empty state con alternative reali.,Must,05_Features/14_Search.md
SEARCH-F-005,"Non esporre admin, draft, media privati o dati cliente.",Must,05_Features/14_Search.md
SEARCH-F-006,Misurare query e zero-result con minimizzazione dati.,Should,05_Features/14_Search.md
PAY-F-001,Distinguere prodotti immediatamente acquistabili da quote/configurazioni.,Must future,05_Features/15_Checkout_and_Payments_Future.md
PAY-F-002,"Calcolare totali, imposte e spedizione con snapshot.",Must future,05_Features/15_Checkout_and_Payments_Future.md
PAY-F-003,Usare provider tokenizzato; nessun dato carta nel sistema.,Must future,05_Features/15_Checkout_and_Payments_Future.md
PAY-F-004,"Verificare webhook, idempotency e reconciliation.",Must future,05_Features/15_Checkout_and_Payments_Future.md
PAY-F-005,"Gestire failure, retry, refund/cancel e stato separato.",Must future,05_Features/15_Checkout_and_Payments_Future.md
PAY-F-006,"Fornire termini, conferme e documenti fiscali approvati.",Must future,05_Features/15_Checkout_and_Payments_Future.md
ADM-F-001,Mostrare overview operativa basata su permessi.,Must,06_Admin/01_Admin_Information_Architecture.md
ADM-F-002,Separare moduli e capability secondo RBAC.,Must,06_Admin/01_Admin_Information_Architecture.md
ADM-F-003,"Consentire gestione catalogo, contenuti, eventi, newsletter e media.",Must,06_Admin/01_Admin_Information_Architecture.md
ADM-F-004,Fornire audit e storico delle azioni significative.,Must,06_Admin/01_Admin_Information_Architecture.md
ADM-F-005,Gestire configurazioni con validazione e versioning.,Must,06_Admin/01_Admin_Information_Architecture.md
ADM-F-006,Evitare accesso diretto al database per operazioni ordinarie.,Must,06_Admin/01_Admin_Information_Architecture.md
MEDIA-F-001,Gestire lifecycle e approvazione degli asset.,Must,06_Admin/04_Media_Library.md
MEDIA-F-002,"Conservare provenance, diritti e prompt AI.",Must,06_Admin/04_Media_Library.md
MEDIA-F-003,Generare derivative versionate WebP/AVIF/fallback.,Must,06_Admin/04_Media_Library.md
MEDIA-F-004,Rilevare duplicati e mostrare usage graph.,Must,06_Admin/04_Media_Library.md
MEDIA-F-005,Applicare watermark solo a derivative.,Must,06_Admin/04_Media_Library.md
MEDIA-F-006,Impedire cancellazione di asset in uso senza sostituzione.,Must,06_Admin/04_Media_Library.md
AI-F-001,"Ogni assistente usa identità, capability e resource scope espliciti.",Must,07_AI/01_AI_Overview.md
AI-F-002,"Prompt, modello, fonti, tool, costi e outcome sono versionati/registrati.",Must,07_AI/01_AI_Overview.md
AI-F-003,Output strutturati vengono validati prima di side effect.,Must,07_AI/01_AI_Overview.md
AI-F-004,Tool results e retrieval sono dati non fidati rispetto alle policy.,Must,07_AI/01_AI_Overview.md
AI-F-005,Human review è applicata per classe di rischio.,Must,07_AI/01_AI_Overview.md
AI-F-006,Ogni capability ha eval offline/online e fallback manuale.,Must,07_AI/01_AI_Overview.md
AI-F-007,Provider critici sono isolati dietro adapter.,Should,07_AI/01_AI_Overview.md
AI-F-008,"Dati e memoria rispettano purpose, retention e isolamento.",Must,07_AI/01_AI_Overview.md
JAR-F-001,Rispondere usando solo risorse autorizzate e citate.,Must,07_AI/02_Jarvis_Admin.md
JAR-F-002,Proporre bozze senza pubblicazione automatica.,Must,07_AI/02_Jarvis_Admin.md
JAR-F-003,Invocare solo tool in allowlist con authorization server-side.,Must,07_AI/02_Jarvis_Admin.md
JAR-F-004,Richiedere conferma per side effect e human review per azioni conseguenziali.,Must,07_AI/02_Jarvis_Admin.md
JAR-F-005,"Separare memoria di sessione, task, preferenze e conoscenza organizzativa.",Must,07_AI/02_Jarvis_Admin.md
JAR-F-006,"Registrare prompt, modello, tool, costi, fonti e outcome.",Must,07_AI/02_Jarvis_Admin.md
JAR-F-007,Resistere a prompt injection e isolamento cross-customer.,Must,07_AI/02_Jarvis_Admin.md
JAR-F-008,Fornire fallback manuale e non dichiarare falsi successi.,Must,07_AI/02_Jarvis_Admin.md
CAI-F-001,"Consultare record cliente, richieste, ordini e cronologia esclusivamente entro lo scope autorizzato di Andrea.",Must security,07_AI/03_Customer_Assistant.md
CAI-F-002,"Preparare riepiloghi, segmentazioni e bozze di risposta senza inviarle autonomamente.",Must,07_AI/03_Customer_Assistant.md
CAI-F-003,"Segnalare dati mancanti o incoerenti senza inventare disponibilità, prezzi, tempi o stato operativo.",Must,07_AI/03_Customer_Assistant.md
CAI-F-004,"Applicare minimizzazione, purpose limitation e separazione tra dati cliente, note interne e dati pubblici.",Must security,07_AI/03_Customer_Assistant.md
CAI-F-005,Proporre aggiornamenti CRM tramite preview/diff e richiedere conferma quando producono side effect rilevanti.,Must,07_AI/03_Customer_Assistant.md
CAI-F-006,"Escalare ad Andrea temi tecnici, commerciali, legali, privacy o sicurezza e registrare provenance e audit.",Must security,07_AI/03_Customer_Assistant.md
SEOAI-F-001,"Analizzare contenuto, intento e dati reali senza inventare volumi/ranking.",Must,07_AI/04_SEO_Assistant.md
SEOAI-F-002,"Proporre metadata, struttura e link come draft.",Must,07_AI/04_SEO_Assistant.md
SEOAI-F-003,Verificare che schema.org rifletta contenuto visibile.,Must,07_AI/04_SEO_Assistant.md
SEOAI-F-004,"Rilevare cannibalizzazione, thin/duplicate content e link rotti.",Should,07_AI/04_SEO_Assistant.md
SEOAI-F-005,Citare pagine e metriche usate.,Must,07_AI/04_SEO_Assistant.md
SEOAI-F-006,Non pubblicare o creare pagine massivamente senza review.,Must,07_AI/04_SEO_Assistant.md
CATAI-F-001,Generare testo solo da campi e asset approvati.,Must,07_AI/05_Catalog_Assistant.md
CATAI-F-002,Segnalare dati mancanti senza inventarli.,Must,07_AI/05_Catalog_Assistant.md
CATAI-F-003,Distinguere CTA mode e tipo prodotto.,Must,07_AI/05_Catalog_Assistant.md
CATAI-F-004,Non trasformare render/concept in prova fotografica.,Must,07_AI/05_Catalog_Assistant.md
CATAI-F-005,Proporre tag/categorie senza applicazione automatica non revisionata.,Should,07_AI/05_Catalog_Assistant.md
CATAI-F-006,Conservare fonti e diff della bozza.,Must,07_AI/05_Catalog_Assistant.md
NAI-F-001,"Usare solo contenuti, offerte, date e link verificati.",Must,07_AI/06_Newsletter_Assistant.md
NAI-F-002,"Produrre subject, preheader, HTML/content blocks e plain text in draft.",Must,07_AI/06_Newsletter_Assistant.md
NAI-F-003,"Non inventare urgenza, disponibilità, sconti o recensioni.",Must,07_AI/06_Newsletter_Assistant.md
NAI-F-004,"Usare segmenti già autorizzati, non inferire dati sensibili.",Must,07_AI/06_Newsletter_Assistant.md
NAI-F-005,Eseguire checklist link/compliance/spam risk.,Must,07_AI/06_Newsletter_Assistant.md
NAI-F-006,Non programmare o inviare senza review.,Must,07_AI/06_Newsletter_Assistant.md
PFAI-F-001,Attivarsi solo dopo API/auth contract reale e ADR.,Must future,07_AI/07_PrintFlow_Assistant.md
PFAI-F-002,Rispettare permessi PrintFlow e NoLimits3D separatamente.,Must future,07_AI/07_PrintFlow_Assistant.md
PFAI-F-003,Non eseguire comandi macchina non confermati e non sicuri.,Must future,07_AI/07_PrintFlow_Assistant.md
PFAI-F-004,Citare stato reale di job/device e timestamp.,Must future,07_AI/07_PrintFlow_Assistant.md
PFAI-F-005,Gestire disconnessione e dati stale senza falso successo.,Must future,07_AI/07_PrintFlow_Assistant.md
PFAI-F-006,Conservare audit e human review secondo rischio.,Must future,07_AI/07_PrintFlow_Assistant.md
FUTAI-F-001,Nessuna capability viene adottata per sola disponibilità tecnologica.,Must,07_AI/08_Future_AI.md
FUTAI-F-002,Il valore viene confrontato con processo non-AI.,Must,07_AI/08_Future_AI.md
FUTAI-F-003,Dati sintetici o deboli sono etichettati e non usati per claim.,Must,07_AI/08_Future_AI.md
FUTAI-F-004,"Ogni pilot ha kill switch, owner e criteri di successo/abbandono.",Must,07_AI/08_Future_AI.md
SEO-F-001,"Ogni pagina indicizzabile deve avere intento, owner, CTA e KPI.",Must,09_SEO_Content/01_SEO_Strategy.md
SEO-F-002,"L'architettura deve separare prodotti, servizi, casi, contenuti ed eventi.",Must,09_SEO_Content/01_SEO_Strategy.md
SEO-F-003,Nessuna pagina programmatica senza valore e contenuto originale.,Must,09_SEO_Content/01_SEO_Strategy.md
SEO-F-004,Claim tecnici/locali devono essere verificabili.,Must,09_SEO_Content/01_SEO_Strategy.md
SEO-F-005,Cambi URL richiedono redirect/canonical e monitoraggio.,Must,09_SEO_Content/01_SEO_Strategy.md
SEO-F-006,"Performance, accessibility e structured data fanno parte del gate SEO.",Must,09_SEO_Content/01_SEO_Strategy.md
CONT-F-001,Ogni contenuto risponde a un bisogno reale e ha ruolo nel journey.,Must,09_SEO_Content/02_Content_Strategy.md
CONT-F-002,"Esperienza, foto, dati e casi usati devono avere provenance.",Must,09_SEO_Content/02_Content_Strategy.md
CONT-F-003,AI produce draft sottoposti a fact-check e review.,Must,09_SEO_Content/02_Content_Strategy.md
CONT-F-004,"Contenuti obsoleti vengono aggiornati, consolidati o deprecati.",Must,09_SEO_Content/02_Content_Strategy.md
CONT-F-005,Terminologia rispetta glossario e comprensibilità non tecnica.,Must,09_SEO_Content/02_Content_Strategy.md
CONT-F-006,"CTA e internal links devono essere pertinenti, non forzati.",Must,09_SEO_Content/02_Content_Strategy.md
BLOG-F-001,Gli articoli devono supportare cluster e non competere con pagine commerciali.,Must,09_SEO_Content/03_Blog_Strategy.md
BLOG-F-002,"Ogni articolo ha brief, intent, persona, fonti e CTA.",Must,09_SEO_Content/03_Blog_Strategy.md
BLOG-F-003,"Guide tecniche dichiarano test, versione e limiti.",Must,09_SEO_Content/03_Blog_Strategy.md
BLOG-F-004,Aggiornamento e scadenza editoriale sono pianificati.,Should,09_SEO_Content/03_Blog_Strategy.md
BLOG-F-005,Commenti/community non sono inclusi senza moderazione dedicata.,Must,09_SEO_Content/03_Blog_Strategy.md
BLOG-F-006,L'autore/reviewer e la data di revisione sono visibili quando utili.,Should,09_SEO_Content/03_Blog_Strategy.md
LOCAL-F-001,NAP e orari devono essere coerenti sui canali ufficiali.,Must,09_SEO_Content/04_Local_SEO.md
LOCAL-F-002,Pagine locali esistono solo con servizio/evidenza realmente pertinenti.,Must,09_SEO_Content/04_Local_SEO.md
LOCAL-F-003,Recensioni non sono incentivate o fabbricate in modo ingannevole.,Must,09_SEO_Content/04_Local_SEO.md
LOCAL-F-004,"Eventi e casi locali collegano luogo, data e prova reale.",Must,09_SEO_Content/04_Local_SEO.md
LOCAL-F-005,Area servita e modalità ritiro/spedizione sono dichiarate.,Must,09_SEO_Content/04_Local_SEO.md
LOCAL-F-006,Google Business Profile ha owner e workflow di aggiornamento.,Must,09_SEO_Content/04_Local_SEO.md
TSEO-F-001,Pagine pubbliche principali sono server-rendered/prerendered e crawlable.,Must,09_SEO_Content/05_Technical_SEO.md
TSEO-F-002,"Canonical, robots e status HTTP riflettono lo stato reale.",Must,09_SEO_Content/05_Technical_SEO.md
TSEO-F-003,Sitemap contiene solo URL canonici pubblicati.,Must,09_SEO_Content/05_Technical_SEO.md
TSEO-F-004,Redirect sono singolo-hop e monitorati.,Must,09_SEO_Content/05_Technical_SEO.md
TSEO-F-005,Facet/search/admin/customer non generano index bloat.,Must,09_SEO_Content/05_Technical_SEO.md
TSEO-F-006,"CI controlla metadata, link, schema e performance.",Must,09_SEO_Content/05_Technical_SEO.md
SCHEMA-F-001,Structured data deve rappresentare contenuto visibile e reale.,Must,09_SEO_Content/06_Schema_org.md
SCHEMA-F-002,"ID e relazioni tra Organization, WebSite e pagine sono stabili.",Must,09_SEO_Content/06_Schema_org.md
SCHEMA-F-003,Product/Offer solo quando prezzo/disponibilità sono corretti.,Must,09_SEO_Content/06_Schema_org.md
SCHEMA-F-004,Event riflette cancellation/postponement e timezone.,Must,09_SEO_Content/06_Schema_org.md
SCHEMA-F-005,SoftwareApplication per PrintFlow non suggerisce release disponibile.,Must,09_SEO_Content/06_Schema_org.md
SCHEMA-F-006,CI valida JSON-LD e campi richiesti.,Must,09_SEO_Content/06_Schema_org.md
LINK-F-001,Ogni pagina indicizzabile deve essere raggiungibile da percorso significativo.,Must,09_SEO_Content/07_Internal_Linking.md
LINK-F-002,Anchor descrive la destinazione senza stuffing.,Must,09_SEO_Content/07_Internal_Linking.md
LINK-F-003,Link automatici derivano da relazioni curate/tassonomia.,Must,09_SEO_Content/07_Internal_Linking.md
LINK-F-004,"Orphan, broken e redirect-chain vengono rilevati.",Must,09_SEO_Content/07_Internal_Linking.md
LINK-F-005,Pagine deprecate aggiornano inbound link verso il sostituto.,Must,09_SEO_Content/07_Internal_Linking.md
LINK-F-006,AI propone link reali ma non li pubblica automaticamente.,Must,09_SEO_Content/07_Internal_Linking.md
GEO-F-001,"Contenuti devono presentare risposte chiare, entità e fonti/prove.",Must,09_SEO_Content/08_GEO_Strategy.md
GEO-F-002,Claim su esperienza e capacità devono essere verificabili.,Must,09_SEO_Content/08_GEO_Strategy.md
GEO-F-003,"Autore, data e aggiornamento sono disponibili quando rilevanti.",Should,09_SEO_Content/08_GEO_Strategy.md
GEO-F-004,FAQ e riepiloghi non duplicano pagine senza valore aggiunto.,Must,09_SEO_Content/08_GEO_Strategy.md
GEO-F-005,Nessun testo nascosto o contenuto creato solo per modelli.,Must,09_SEO_Content/08_GEO_Strategy.md
GEO-F-006,Monitoraggio distingue referral/citazioni dove misurabile.,Could,09_SEO_Content/08_GEO_Strategy.md
AN-F-001,"Ogni evento ha nome, owner, scopo, schema e consent class.",Must,09_SEO_Content/09_Analytics_Measurement_Plan.md
AN-F-002,"Non inviare filename, testo libero, email o PII non necessaria.",Must,09_SEO_Content/09_Analytics_Measurement_Plan.md
AN-F-003,Eventi sono emessi da un layer tipizzato.,Must,09_SEO_Content/09_Analytics_Measurement_Plan.md
AN-F-004,Conversioni chiave sono deduplicate e verificabili lato server quando opportuno.,Must,09_SEO_Content/09_Analytics_Measurement_Plan.md
AN-F-005,"Dashboard distingue volume, qualità e valore commerciale.",Must,09_SEO_Content/09_Analytics_Measurement_Plan.md
AN-F-006,Cambi schema evento sono versionati e testati.,Must,09_SEO_Content/09_Analytics_Measurement_Plan.md
PRD-F-016,"Supportare la vendita diretta NoLimits3D per prodotti standard, preservando un percorso a preventivo per prodotti o servizi non standard.",Must,01_Product/01_PRD.md
PRD-F-017,"Presentare in modo coerente il brand pubblico NoLimits3D, il payoff “Le tue idee prendono forma.” e i cinque valori approvati.",Must,01_Product/01_PRD.md
PRD-F-018,"Mantenere Project Atlas come codename interno, escluso dalle superfici pubbliche salvo decisione esplicita.",Must,01_Product/01_PRD.md
PRD-NF-013,"L’interfaccia pubblica deve comportarsi come una Web Application Premium, con stato chiaro, feedback immediato e consistenza tra route.",Must,01_Product/01_PRD.md
